description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
3 perfect gems + 1 magic item -> magic item	1			100					4	"any,mag"	"gem5,qty=3"						"usetype,mag"			100																																																																																				0
6 perfect skulls + 1 rare item -> 1 low level rare item				0					7	"any,rar"	"skz,qty=6"						"usetype,rar"		40	40																																																																																				0
1 perfect skull + 1 rare item + soj -> 1 high level rare item				0					3	"any,rar"	skz	The Stone of Jordan					"usetype,rar"		66	66																																																																																				0
3 perfect skull + 1 rare item + stone of jordan-> add 1 socket to rare				0					5	"any,rar,nos"	"skz,qty=3"	The Stone of Jordan					"useitem,sock=1"																																																																																							0
magic full helm + jewel + rune 06 + perfect sapphire -> hitpower helm	1			100					4	"fhl,mag,upg"	jew	r06	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	ac-miss			25	50																																																																					0
magic chain boots + jewel + rune 08 + perfect sapphire -> hitpower boots	1			100					4	"mbt,mag,upg"	jew	r08	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	ac-hth			25	60																																																																					0
magic chain gloves + jewel + rune 09 + perfect sapphire -> hitpower gloves	1			100					4	"mgl,mag,upg"	jew	r09	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	knock			1	1																																																																					0
magic heavy belt + jewel + rune 07 + perfect sapphire -> hitpower belt	1			100					4	"tbl,mag,upg"	jew	r07	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	dmg-to-mana			5	10																																																																					0
magic gothic shield + jewel + rune 05 + perfect sapphire -> hitpower shield	1			100					4	"gts,mag,upg"	jew	r05	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	10	block			5	10																																																																					0
magic field plate + jewel + rune 04 + perfect sapphire -> hitpower body	1			100					4	"fld,mag,upg"	jew	r04	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	10	balance1			10	20																																																																					0
magic amulet + jewel + rune 10 + perfect sapphire -> hitpower amulet	1			100					4	"amul,mag"	jew	r10	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	10	howl			5	15																																																																					0
magic ring + jewel + rune 11 + perfect sapphire -> hitpower ring	1			100					4	"ring,mag"	jew	r11	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	6	dex			1	5																																																																					0
magic blunt + jewel + rune 03 + perfect sapphire -> hitpower weapon	1			100					4	"blun,mag"	jew	r03	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	dmg%			35	60																																																																					0
magic helm + jewel + rune 08 + perfect ruby -> blood helm	1			100					4	"hlm,mag,upg"	jew	r08	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	deadly			5	10																																																																					0
magic light plated boots + jewel + rune 05 + perfect ruby -> blood boots	1			100					4	"tbt,mag,upg"	jew	r05	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	regen			5	10																																																																					0
magic heavy gloves + jewel + rune 04 + perfect ruby -> blood gloves	1			100					4	"vgl,mag,upg"	jew	r04	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	crush			5	10																																																																					0
magic belt + jewel + rune 07 + perfect ruby -> blood belt	1			100					4	"mbl,mag,upg"	jew	r07	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	openwounds			5	10																																																																					0
magic spiked shield + jewel + rune 06 + perfect ruby -> blood shield	1			100					4	"spk,mag,upg"	jew	r06	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	thorns			4	7																																																																					0
magic plate mail + jewel + rune 10 + perfect ruby -> blood body	1			100					4	"plt,mag,upg"	jew	r10	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	demon-heal			1	3																																																																					0
magic amulet + jewel + rune 11 + perfect ruby -> blood amulet	1			100					4	"amul,mag"	jew	r11	gpr				"usetype,crf"		50	50	lifesteal			1	4	hp			10	20	move1			5	10																																																																					0
magic ring + jewel + rune 12 + perfect ruby -> blood ring	1			100					4	"ring,mag"	jew	r12	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	str			1	5																																																																					0
magic axe + jewel + rune 09 + perfect ruby -> blood weapon	1			100					4	"axe,mag"	jew	r09	gpr				"usetype,crf"		50	50	lifesteal			1	4	hp			10	20	dmg%			35	60																																																																					0
magic mask + jewel + rune 04 + perfect amethyst -> caster helm	1			100					4	"msk,mag,upg"	jew	r04	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	manasteal			1	4																																																																					0
magic boots + jewel + rune 10 + perfect amethyst -> caster boots	1			100					4	"lbt,mag,upg"	jew	r10	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana%			2	5																																																																					0
magic leather gloves + jewel + rune 09 + perfect amethyst -> caster gloves	1			100					4	"lgl,mag,upg"	jew	r09	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
magic light belt + jewel + rune 06 + perfect amethyst -> caster belt	1			100					4	"vbl,mag,upg"	jew	r06	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
magic small shield + jewel + rune 05 + perfect amethyst -> caster shield	1			100					4	"sml,mag,upg"	jew	r05	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	block			5	10																																																																					0
magic light plate + jewel + rune 07 + perfect amethyst -> caster body	1			100					4	"ltp,mag,upg"	jew	r07	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
magic amulet + jewel + rune 08 + perfect amethyst -> caster amulet	1			100					4	"amul,mag"	jew	r08	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
magic ring + jewel + rune 11 + perfect amethyst -> caster ring	1			100					4	"ring,mag"	jew	r11	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	enr			1	5																																																																					0
magic rod + jewel + rune 03 + perfect amethyst -> caster weapon	1			100					4	"rod,mag"	jew	r03	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana%			1	5																																																																					0
magic crown + jewel + rune 06 + perfect emerald -> safety helm	1			100					4	"crn,mag,upg"	jew	r06	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-ltng			5	10	ac%			10	30																																																																0
magic plate boots + jewel + rune 09 + perfect emerald -> safety boots	1			100					4	"hbt,mag,upg"	jew	r09	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-fire			5	10	ac%			10	30																																																																0
magic gauntlets + jewel + rune 08 + perfect emerald -> safety gloves	1			100					4	"hgl,mag,upg"	jew	r08	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-cold			5	10	ac%			10	30																																																																0
magic sash + jewel + rune 07 + perfect emerald -> safety belt	1			100					4	"lbl,mag,upg"	jew	r07	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-pois			5	10	ac%			10	30																																																																0
magic kite shield + jewel + rune 04 + perfect emerald -> safety shield	1			100					4	"kit,mag,upg"	jew	r04	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-mag			5	10	ac%			10	30																																																																0
magic breastplate + jewel + rune 05 + perfect emerald -> safety body	1			100					4	"brs,mag,upg"	jew	r05	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	half-freeze			1	1	ac%			10	30																																																																0
magic amulet + jewel + rune 10 + perfect emerald -> safety amulet	1			100					4	"amul,mag"	jew	r10	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	block			1	10																																																																					0
magic ring + jewel + rune 11 + perfect emerald -> safety ring	1			100					4	"ring,mag"	jew	r11	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	vit			1	5																																																																					0
magic spear + jewel + rune 12 + perfect emerald -> safety weapon	1			100					4	"spea,mag"	jew	r12	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	ac%			5	10																																																																					0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	1			100					4	"tors,nor,nos"	r07	r10	gpy				useitem			100	sock			1	6																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	1			100					4	"weap,nor,nos"	r08	r11	gpv				useitem			100	sock			1	6																																																																															0
r08 + r10 + 1 perfect sapphire + normal helm -> socketed helm	1			100					4	"helm,nor,nos"	r08	r10	gpb				useitem			100	sock			1	6																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	1			100					4	"shld,nor,nos"	r07	r11	gpr				useitem			100	sock			1	6																																																																															0
r02 + 1 chipped gem + low weapon -> normal weapon	1			100					3	"weap,low"	r02	gem0					"usetype,nor"			100																																																																																				0
r01 + 1 chipped gem + low armor -> normal armor	1			100					3	"armo,low"	r01	gem0					"usetype,nor"			100																																																																																				0
r08 + r12 + perfect emerald + basic unique weapon -> exceptional unique weapon	1			100					4	"weap,bas,uni"	r08	r12	gpg				"useitem,mod,exc"				levelreq			5	5																																																																															0
r07 + r13 + perfect diamond + basic unique armor -> exceptional unique armor	1			100					4	"armo,bas,uni"	r07	r13	gpw				"useitem,mod,exc"				levelreq			5	5																																																																															0
r17 + r21 + perfect emerald + exceptional unique weapon -> elite unique weapon	1	1		100					4	"weap,exc,uni"	r17	r21	gpg				"useitem,mod,eli"				levelreq			7	7																																																																															0
r18 + r20 + perfect diamond + exceptional unique armor -> elite unique armor	1	1		100					4	"armo,exc,uni"	r18	r20	gpw				"useitem,mod,eli"				levelreq			7	7																																																																															0
r09 + r11 + perfect sapphire + basic rare weapon -> exceptional rare weapon	1			100					4	"weap,bas,rar"	r09	r11	gpb				"useitem,mod,exc"				levelreq			5	5																																																																															0
r08 + r10 + perfect amethyst + basic rare armor -> exceptional rare armor	1			100					4	"armo,bas,rar"	r08	r10	gpv				"useitem,mod,exc"				levelreq			5	5																																																																															0
r19 + r22 + perfect sapphire + exceptional rare weapon -> elite rare weapon	1			100					4	"weap,exc,rar"	r19	r22	gpb				"useitem,mod,eli"				levelreq			7	7																																																																															0
r18 + r21 + perfect amethyst + exceptional rare armor -> elite rare armor	1			100					4	"armo,exc,rar"	r18	r21	gpv				"useitem,mod,eli"				levelreq			7	7																																																																															0
r09 + weapon -> repair	1			100					2	"weap,noe"	r09						"useitem,rep,qty=255"																																																																																							0
r08 + armor -> repair	1			100					2	"armo,noe"	r08						"useitem,rep,qty=255"																																																																																							0
r09 + weapon + chipped gem -> repair + recharge	1			100					3	"weap,noe"	r09	gem0					"useitem,rep,rch,qty=255"																																																																																							0
r08 + armor + flawed gem -> repair + recharge	1			100					3	"armo,noe"	r08	gem1					"useitem,rep,rch,qty=255"																																																																																							0
r15 + tsc + any socketed item -> unsocket (destroy gems)	1			100					3	"any,sock"	r15	tsc					"useitem,uns"																																																																																							0
r08 + jew + superior armor -> tempered armor				100					3	"armo,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
r08 + jew + superior weapon -> tempered weapon				100					3	"weap,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
r08 + jew + magic ring -> tempered ring				100					3	"ring,mag"	jew	r08					"usetype,tmp"				levelreq			3	3																																																																															0
r08 + jew + magic amulet -> tempered amulet				100					3	"amul,mag"	jew	r08					"usetype,tmp"				levelreq			5	5																																																																															0
r01 + gcv + tempered weapon -> +30-50 ar				100					3	"weap,tmp"	r01	gcv					useitem				levelreq			2	2	att			30	50																																																																										0
"3 chipped gems + 1 magic weapon -> socketed, magic weapon"	1			0					4	"weap,mag"	"gem0,qty=3"						"usetype,mag"	25		50	sock			1	2																																																																															0
3 chipped obsidians -> flawed obsidian	1			0					3	"gck,qty=3"							gfk																																																																																							0
3 flawed obsidians -> standard obsidian	1			0					3	"gfk,qty=3"							gsk																																																																																							0
3 standard obsidians -> flawless obsidian	1			0					3	"gsk,qty=3"							gzk																																																																																							0
3 flawless obsidians -> blemished obsidian	1			0					3	"gzk,qty=3"							gpk																																																																																							0
3 blemished obsidians -> perfect obsidian	1			0					3	"gpk,qty=3"							gbk																																																																																							0
3 blemished amethysts -> perfect amethyst	1			0					3	"gpv,qty=3"							gvb																																																																																							0
3 blemished saphires -> perfect saphire	1			0					3	"gpb,qty=3"							gbb																																																																																							0
3 blemished emeralds -> perfect emerald	1			0					3	"gpg,qty=3"							ggb																																																																																							0
3 blemished rubies -> perfect ruby	1			0					3	"gpr,qty=3"							grb																																																																																							0
3 blemished diamonds -> perfect diamond	1			0					3	"gpw,qty=3"							gwb																																																																																							0
3 blemished topaz -> perfect topaz	1			0					3	"gpy,qty=3"							gyb																																																																																							0
3 blemished skulls -> perfect skull	1			0					3	"skz,qty=3"							skb																																																																																							0
rune upgrade	1			100					3	"r01,qty=3"							r02																																																																																							0
rune upgrade	1			100					3	"r02,qty=3"							r03																																																																																							0
rune upgrade	1			100					3	"r03,qty=3"							r04																																																																																							0
rune upgrade	1			100					3	"r04,qty=3"							r05																																																																																							0
rune upgrade	1			100					3	"r05,qty=3"							r06																																																																																							0
rune upgrade	1			100					3	"r06,qty=3"							r07																																																																																							0
rune upgrade	1			100					3	"r07,qty=3"							r08																																																																																							0
rune upgrade	1			100					3	"r08,qty=3"							r09																																																																																							0
rune upgrade	1			100					3	"r09,qty=3"							r10																																																																																							0
rune upgrade	1			100					3	"r10,qty=3"							r11																																																																																							0
rune upgrade	1			100					3	"r11,qty=3"							r12																																																																																							0
rune upgrade	1			100					3	"r12,qty=3"							r13																																																																																							0
rune upgrade	1			100					3	"r13,qty=3"							r14																																																																																							0
rune upgrade	1			100					3	"r14,qty=3"							r15																																																																																							0
rune upgrade	1			100					3	"r15,qty=3"							r16																																																																																							0
rune upgrade	1			100					3	"r16,qty=3"							r17																																																																																							0
rune upgrade	1			100					3	"r17,qty=3"							r18																																																																																							0
rune upgrade	1			100					3	"r18,qty=3"							r19																																																																																							0
rune upgrade	1			100					3	"r19,qty=3"							r20																																																																																							0
rune upgrade	1			100					3	"r20,qty=3"							r21																																																																																							0
rune upgrade	1			100					3	"r21,qty=3"							r22																																																																																							0
rune upgrade	1			100					3	"r22,qty=3"							r23																																																																																							0
rune upgrade	1			100					3	"r23,qty=3"							r24																																																																																							0
rune upgrade	1			100					3	"r24,qty=3"							r25																																																																																							0
rune upgrade	1			100					3	"r25,qty=3"							r26																																																																																							0
rune upgrade	1			100					3	"r26,qty=3"							r27																																																																																							0
rune upgrade	1			100					3	"r27,qty=3"							r28																																																																																							0
rune upgrade	1			100					3	"r28,qty=3"							r29																																																																																							0
rune upgrade	1			100					3	"r29,qty=3"							r30																																																																																							0
rune upgrade	1			100					3	"r30,qty=3"							r31																																																																																							0
rune upgrade	1			100					3	"r31,qty=3"							r32																																																																																							0
rune upgrade	1			100					3	"r32,qty=3"							r33																																																																																							0
rune upgrade	1			100					3	"r33,qty=3"							r34																																																																																							0
rune upgrade	1			100					3	"r34,qty=3"							r35																																																																																							0
rune upgrade	1			100					3	"r35,qty=3"							r36																																																																																							0
rune upgrade	1			100					3	"r36,qty=3"							r37																																																																																							0
rune upgrade	1			100					3	"r37,qty=3"							r38																																																																																							0
rune upgrade	1			100					3	"r38,qty=3"							r39																																																																																							0
rune upgrade	1			100					3	"r39,qty=3"							r40																																																																																							0
rune upgrade	1			100					3	"r40,qty=3"							r41																																																																																							0
rune upgrade	1			100					3	"r41,qty=3"							r42																																																																																							0
rune upgrade	1			100					3	"r42,qty=3"							r43																																																																																							0
rune upgrade	1			100					3	"r43,qty=3"							r44																																																																																							0
rune upgrade	1			100					3	"r44,qty=3"							r45																																																																																							0
rune upgrade	1			100					3	"r45,qty=3"							r46																																																																																							0
Make Scroll for Recipe 1	1			0					2	01b	ddd						01a																																																																																							0
Make Scroll for Recipe 2	1			0					2	02b	ddd						02a																																																																																							0
Make Scroll for Recipe 3	1			0					2	03b	ddd						03a																																																																																							0
Make Scroll for Recipe 4	1			0					2	04b	ddd						04a																																																																																							0
Make Scroll for Recipe 5	1			0					2	05b	ddd						05a																																																																																							0
Make Scroll for Recipe 6	1			0					2	06b	ddd						06a																																																																																							0
Make Scroll for Recipe 7	1			0					2	07b	ddd						07a																																																																																							0
Make Scroll for Recipe 8	1			0					2	08b	ddd						08a																																																																																							0
Make Scroll for Recipe 9	1			0					2	09b	ddd						09a																																																																																							0
Make Scroll for Recipe 10	1			0					2	10b	ddd						10a																																																																																							0
Make Scroll for Recipe 11	1			0					2	11b	ddd						11a																																																																																							0
Make Scroll for Recipe 12	1			0					2	12b	ddd						12a																																																																																							0
Make Scroll for Recipe 13	1			0					2	13b	ddd						13a																																																																																							0
Make Scroll for Recipe 14	1			0					2	14b	ddd						14a																																																																																							0
Make Scroll for Recipe 15	1			0					2	15b	ddd						15a																																																																																							0
Make Scroll for Recipe 16	1			0					2	16b	ddd						16a																																																																																							0
Make Scroll for Recipe 17	1			0					2	17b	ddd						17a																																																																																							0
Make Scroll for Recipe 18	1			0					2	18b	ddd						18a																																																																																							0
Make Scroll for Recipe 19	1			0					2	19b	ddd						19a																																																																																							0
Make Scroll for Recipe 20	1			0					2	20b	ddd						20a																																																																																							0
Make Scroll for Recipe 21	1			0					2	21b	ddd						21a																																																																																							0
Make Scroll for Recipe 22	1			0					2	22b	ddd						22a																																																																																							0
Make Scroll for Recipe 23	1			0					2	23b	ddd						23a																																																																																							0
