Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Hpotion 1			1						hp1	8	hp2	3	mp1	3	mp2	2	rvs	1														0
Hpotion 2			1						hp1	1	hp2	4	hp3	3	mp2	2	mp3	2	rvs	1												0
Hpotion 3			1						hp2	1	hp3	4	hp4	3	mp3	2	mp4	2	rvs	1												0
Hpotion 4			1						hp3	1	hp4	4	hp5	3	mp4	2	mp5	2	rvs	1												0
Hpotion 5			1						hp3	1	hp4	4	hp5	4	mp5	4	rvs	1														0
Hpotion 6			1						hp4	4	hp5	6	mp4	2	mp5	4	rvs	1														0
Potion 1			1						hp1	12	hp2	4	mp1	5	mp2	4	rvs	1	vps	4												0
Potion 2			1						hp1	4	hp2	8	hp3	5	mp2	2	mp3	5	rvs	1	vps	2	yps	3	wms	1						0
Potion 3			1						hp2	6	hp3	6	hp4	4	mp3	3	mp4	3	rvs	1	vps	2	yps	2	wms	1						0
Potion 4			1						hp3	6	hp4	6	hp5	4	mp4	3	mp5	3	rvs	1	vps	2	yps	2	wms	1						0
Potion 5			1						hp3	4	hp4	6	hp5	6	mp5	5	rvs	1	vps	2	yps	2	wms	1								0
Potion 6			1						hp4	6	hp5	8	mp4	1	mp5	5	rvs	1	vps	2	yps	2	wms	1								0
Runes 1			1						r01	35	r02	30	r03	25																		0
Runes 2			1						r04	35	r05	30	r06	25	Runes 1	150																0
Runes 3			1						r07	35	r08	30	r09	25	Runes 2	225																0
Runes 4			1						r10	35	r11	30	r12	25	Runes 3	325																0
Runes 5			1						r13	35	r14	30	r15	25	Runes 4	450																0
Runes 6			1						r16	35	r17	30	r18	25	Runes 5	600																0
Runes 7			1						r19	35	r20	30	r21	25	Runes 6	775																0
Runes 8			1						r22	35	r23	30	r24	25	Runes 7	975																0
Runes 9			1						r25	35	r26	30	r27	25	Runes 8	1200																0
Runes 10			1						r28	35	r29	30	r30	25	Runes 9	1450																0
Runes 11			1						r31	35	r32	30	r33	25	Runes 10	1725																0
Runes 12			1						r34	35	r35	30	r36	25	Runes 11	2025																0
Runes 13			1						r37	35	r38	30	r39	25	Runes 12	2350																0
Runes 14			1						r40	35	r41	30	r42	25	Runes 13	2700																0
Runes 15			1						r43	35	r44	30	r45	25	Runes 14	3075																0
Runes 16			1						r46	25	Runes 15	3475																				0
Sauto			-4		1024				ssd	1	qui	1	vbl	1	vgl	1																0
Sachilles			-3		1024				tgl	1	hbl	1	mbt	1																		0
Sdiablo			-4		1024				fhl	1	amu	1	full	1	tow	1																0
Splanet			-6		1024				xlm	1	xit	1	xlg	1	rn2	1	zlb	1	tbt	1												0
Swaves			-4		1024				au2	1	rn2	1	zmb	1	rin	1																0
Stass			-3		1024				1ss	1	bmb	1	ymb	1																		0
Sarctic			-3		1024				hbw	1	vgl	1	vbl	1																		0
Sgabrielle			-3		1024				am3	1	hla	1	vbt	1																		0
Slixo			-4		1024				xap	1	8lw	1	xla	1	rin	1																0
Saanna			-4		1024				9p9	1	xlt	1	xtg	1	xtb	1																0
Salaziel			-4		1024				ama	1	xlv	1	yml	1	ymg	1																0
Snoir			-4		1024				yht	1	9pb	1	xig	1	xhb	1																0
Smilea			-3		1024				ci2	1	amd	1	yng	1																		0
Sdeath			-3		1024				ktr	1	lgl	1	lbl	1																		0
Svega			-4		1024				eht	1	clw	1	btl	1	lbl	1																0
Smotoko			-3		1024				nin	1	clk	1	amu	1																		0
Salora			-4		1024				xhl	1	9cs	1	xcl	1	xmb	1																0
Ssascha			-4		1024				7wb	1	yhn	1	9qr	1	ylb	1																0
Sihsan			-4		1024				xdw	1	xar	1	xhg	1	xms	1																0
Sborik			-3		1024				0nn	1	yhh	1	yvg	1																		0
Sinfernal			-3		1024				cap	1	wnd	1	mbl	1																		0
Srathol			-3		1024				msk	1	nsy	1	rng	1																		0
Swrath			-5		1024				bhm	1	amu	1	syn	1	xea	1	xlg	1														0
Slich			-5		1024				xsk	1	9yw	1	xrs	1	xmg	1	hbt	1														0
Snupraptor			-3		1024				xh9	1	9rd	1	nea	1																		0
Slimdul			-4		1024				9gw	1	neb	1	alb	1	xbt	1																0
Sbrotherhood			-3		1024				yh9	1	yla	1	0sy	1																		0
Sberserker			-3		1024				hlm	1	hax	1	lea	1																		0
Smess			-3		1024				btx	1	mgl	1	tbl	1																		0
Skain			-5		1024				gsd	1	aar	1	gts	1	hgl	1	rin	1														0
Skrakerage			-3		1024				9fc	1	xpl	1	9gs	1																		0
Sdarkshade			-5		1024				ba9	1	9mt	1	xhh	1	9fl	1	xms	1														0
Ssareveok			-3		1024				bae	1	1gd	1	yld	1																		0
Shurja			-3		1024				baf	1	ypl	1	brg	1																		0
Smilabrega			-3		1024				cix	1	scp	1	pa1	1																		0
Styrael			-3		1024				fhl	1	crs	1	kit	1																		0
Sanduin			-3		1024				crn	1	whm	1	pa4	1																		0
Smalek			-5		1024				xrn	1	pbe	1	elv	1	xpk	1	irg	1														0
Slancelot			-3		1024				9be	1	xul	1	paa	1																		0
Sgriffith			-4		1024				yhl	1	pam	1	0sb	1	xth	1																0
Sdarien			-3		1024				yhl	1	ycl	1	ahb	1																		0
Sarcanna			-3		1024				au2	1	sst	1	clk	1																		0
Stara			-4		1024				ci0	1	ob3	1	rob	1	lrg	1																0
Snaj			-3		1024				wst	1	ltp	1	xlb	1																		0
Sdivada			-4		1024				xht	1	mnb	1	xrb	1	xuc	1																0
Sraistlin			-4		1024				ysk	1	au2	1	1cs	1	xtp	1																0
Sjade			-4		1024				sam	1	ylk	1	srn	1	xvb	1																0
Sarion			-3		1024				obc	1	yrb	1	ylg	1																		0
Shsaru			-3		1024				shc	1	buc	1	lbt	1																		0
Sblackwing			-4		1024				dr2	1	gis	1	mgl	1	mbl	1																0
Sdanarak			-3		1024				dr4	1	mau	1	xlk	1																		0
Smerlin			-4		1024				dr8	1	9cr	1	xtu	1	dbt	1																0
Snature			-4		1024				drb	1	9gm	1	yui	1	yvb	1																0
Sjaheira			-4		1024				0sh	1	xow	1	ytg	1	zhb	1																0
Snatrule			-3		1024				0sp	1	yea	1	yhg	1																		0
Srogue			-3		1024				sbw	1	lea	1	skp	1																		0
Sdesert			-3		1024				spt	1	stu	1	cap	1																		0
Swolf			-4		1024				bsd	1	rob	1	hlm	1	kit	1																0
Sbarb			-3		1024				bsw	1	gth	1	ghm	1																		0
Sets01			-1		1024				Sauto	1	Sachilles	1	Sarctic	1	Sgabrielle	1	Sdeath	1	Svega	1	Sinfernal	1	Srathol	1	Srogue	1	Sdesert	1				0
Sets02			-1		1024				Sberserker	1	Smess	1	Smilabrega	1	Styrael	1	Sarcanna	1	Stara	1	Shsaru	1	Sblackwing	1	Swolf	1	Sbarb	1				0
Sets03			-1		1024				Sdiablo	1	Splanet	1	Slixo	1	Saanna	1	Smotoko	1	Salora	1	Swrath	1	Slich	1								0
Sets04			-1		1024				Skain	1	Skrakerage	1	Sanduin	1	Smalek	1	Snaj	1	Sdivada	1	Sdanarak	1	Smerlin	1								0
Sets05			-1		1024				Swaves	1	Stass	1	Salaziel	1	Smilea	1	Ssascha	1	Sborik	1	Snupraptor	1	Sbrotherhood	1								0
Sets06			-1		1024				Sdarkshade	1	Ssareveok	1	Slancelot	1	Sdarien	1	Sraistlin	1	Sarion	1	Snature	1	Snatrule	1								0
Sets07			-1		1024				Snoir	1	Sihsan	1	Slimdul	1	Shurja	1	Sgriffith	1	Sjade	1	Sjaheira	1										0
Sets (Norm)			-1		1024				Sets01	1	Sets02	1																				0
Sets (NM)			-1		1024				Sets03	1	Sets04	1																				0
Sets (H)			-1		1024				Sets05	1	Sets06	1	Sets07	1																		0
Sets (All)			-1		1024				Sets (Norm)	1	Sets (NM)	1	Sets (H)	1																		0
Sets (Gen)			-1		1024				Sauto	1	Sachilles	1	Sdiablo	1																		0
Sets (Ama)			-1		1024				Sarctic	1	Sgabrielle	1	Slixo	1																		0
Sets (Ass)			-1		1024				Sdeath	1	Svega	1	Smotoko	1																		0
Sets (Nec)			-1		1024				Sinfernal	1	Srathol	1	Swrath	1																		0
Sets (Barb)			-1		1024				Sberserker	1	Smess	1	Skain	1																		0
Sets (Pal)			-1		1024				Smilabrega	1	Styrael	1	Sanduin	1																		0
Sets (Sorc)			-1		1024				Sarcanna	1	Stara	1	Snaj	1																		0
Sets (Dru)			-1		1024				Shsaru	1	Sblackwing	1	Sdanarak	1																		0
Sets (Gen) nm			-1		1024				Splanet	1	Swaves	1																				0
Sets (Ama) nm			-1		1024				Saanna	1	Salaziel	1																				0
Sets (Ass) nm			-1		1024				Salora	1	Ssascha	1																				0
Sets (Nec) nm			-1		1024				Slich	1	Snupraptor	1																				0
Sets (Barb) nm			-1		1024				Skrakerage	1	Sdarkshade	1																				0
Sets (Pal) nm			-1		1024				Smalek	1	Slancelot	1																				0
Sets (Sorc) nm			-1		1024				Sdivada	1	Sraistlin	1																				0
Sets (Dru) nm			-1		1024				Smerlin	1	Snature	1																				0
Sets (Gen) h			-1		1024				Swaves	1	Stass	1																				0
Sets (Ama) h			-1		1024				Snoir	1	Smilea	1																				0
Sets (Ass) h			-1		1024				Sihsan	1	Sborik	1																				0
Sets (Nec) h			-1		1024				Slimdul	1	Sbrotherhood	1																				0
Sets (Barb) h			-1		1024				Ssarevok	1	Shurja	1																				0
Sets (Pal) h			-1		1024				Sgriffith	1	Sdarien	1																				0
Sets (Sorc) h			-1		1024				Sjade	1	Sarion	1																				0
Sets (Dru) h			-1		1024				Sjaheira	1	Snatrule	1																				0
Sets (Act 1 Super Gen)			-1		1024				Sauto	1																						0
Sets (Act 1 Super Ama)			-1		1024				Sarctic	1																						0
Sets (Act 1 Super Ass)			-1		1024				Sdeath	1																						0
Sets (Act 1 Super Nec)			-1		1024				Sinfernal	1																						0
Sets (Act 1 Super Barb)			-1		1024				Sberserker	1																						0
Sets (Act 1 Super Pal)			-1		1024				Smilabrega	1																						0
Sets (Act 1 Super Sorc)			-1		1024				Sarcanna	1																						0
Sets (Act 1 Super Dru)			-1		1024				Shsaru	1																						0
Sets (Act 1 Super)			1		1024				Sets (Act 1 Super Gen)	1	Sets (Act 1 Super Ama)	1	Sets (Act 1 Super Ass)	1	Sets (Act 1 Super Nec)	1	Sets (Act 1 Super Barb)	1	Sets (Act 1 Super Pal)	1	Sets (Act 1 Super Sorc)	1	Sets (Act 1 Super Dru)	1								0
Sets (Act 2 Super Gen)			-1		1024				Sachilles	1																						0
Sets (Act 2 Super Ama)			-1		1024				Sgabrielle	1																						0
Sets (Act 2 Super Ass)			-1		1024				Svega	1																						0
Sets (Act 2 Super Nec)			-1		1024				Srathol	1																						0
Sets (Act 2 Super Barb)			-1		1024				Smess	1																						0
Sets (Act 2 Super Pal)			-1		1024				Styrael	1																						0
Sets (Act 2 Super Sorc)			-1		1024				Stara	1																						0
Sets (Act 2 Super Dru)			-1		1024				Sblackwing	1																						0
Sets (Act 2 Super)			1		1024				Sets (Act 2 Super Gen)	1	Sets (Act 2 Super Ama)	1	Sets (Act 2 Super Ass)	1	Sets (Act 2 Super Nec)	1	Sets (Act 2 Super Barb)	1	Sets (Act 2 Super Pal)	1	Sets (Act 2 Super Sorc)	1	Sets (Act 2 Super Dru)	1								0
Sets (Act 3 Super Gen)			-1		1024				Sdiablo	1																						0
Sets (Act 3 Super Ama)			-1		1024				Slixo	1																						0
Sets (Act 3 Super Ass)			-1		1024				Smotoko	1																						0
Sets (Act 3 Super Nec)			-1		1024				Swrath	1																						0
Sets (Act 3 Super Barb)			-1		1024				Skain	1																						0
Sets (Act 3 Super Pal)			-1		1024				Sanduin	1																						0
Sets (Act 3 Super Sorc)			-1		1024				Snaj	1																						0
Sets (Act 3 Super Dru)			-1		1024				Sdanarak	1																						0
Sets (Act 3 Super)			1		1024				Sets (Act 3 Super Gen)	1	Sets (Act 3 Super Ama)	1	Sets (Act 3 Super Ass)	1	Sets (Act 3 Super Nec)	1	Sets (Act 3 Super Barb)	1	Sets (Act 3 Super Pal)	1	Sets (Act 3 Super Sorc)	1	Sets (Act 3 Super Dru)	1								0
Sets (Act 4 Super Gen)			-1		1024				Splanet	1																						0
Sets (Act 4 Super Ama)			-1		1024				Saanna	1																						0
Sets (Act 4 Super Ass)			-1		1024				Salora	1																						0
Sets (Act 4 Super Nec)			-1		1024				Slich	1																						0
Sets (Act 4 Super Barb)			-1		1024				Skrakerage	1																						0
Sets (Act 4 Super Pal)			-1		1024				Smalek	1																						0
Sets (Act 4 Super Sorc)			-1		1024				Sdivada	1																						0
Sets (Act 4 Super Dru)			-1		1024				Smerlin	1																						0
Sets (Act 4 Super)			-1		1024				Sets (Act 4 Super Gen)	1	Sets (Act 4 Super Ama)	1	Sets (Act 4 Super Ass)	1	Sets (Act 4 Super Nec)	1	Sets (Act 4 Super Barb)	1	Sets (Act 4 Super Pal)	1	Sets (Act 4 Super Sorc)	1	Sets (Act 4 Super Dru)	1								0
Nihlathak Sets			-1		1024				Sets01	25	Sets02	25	Sets (N1)	3	Sets (N2)	3																0
Nihlathak (N) Sets			-1		1024				Sets (N1)	25	Sets (N2)	25	Sets (H)	3	Sets (All)	3																0
Nihlathak (H) Sets			-1		1024				Sets (H)	25	Sets (All)	25																				0
Act 1 Junk			1						Potion 1	8	Misc 0	4	Ammo	4																		0
Act 2 Junk			1						Act 1 Junk	2	Potion 2	8	Misc 0	4	Ammo	4																0
Act 3 Junk			1						Act 2 Junk	2	Potion 3	8	Misc 1	4	Ammo	4																0
Act 4 Junk			1						Act 3 Junk	2	Potion 4	8	Misc 1	4	Ammo	4																0
Act 5 Junk			1						Act 4 Junk	2	Potion 5	8	Misc 2	4	Ammo	4																0
Act 1 (N) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																0
Act 2 (N) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																0
Act 3 (N) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																0
Act 4 (N) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																0
Act 5 (N) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																0
Act 1 (H) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																0
Act 2 (H) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																0
Act 3 (H) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																0
Act 4 (H) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																0
Act 5 (H) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																0
Act 1 Equip A			1						weap3	7	armo3	7																				0
Act 1 Equip B			1						weap3	3	armo3	3	weap6	7	armo6	7																0
Act 1 Equip C			1						weap3	2	armo3	1	weap6	6	armo6	3	weap9	14	armo9	7	weap12	2	armo12	1								0
Act 2 Equip A			1						weap6	2	armo6	1	weap9	6	armo9	3	weap12	14	armo12	7	weap15	2	armo15	1	Act 1 Equip C	30			36	66	0.4545	0
Act 2 Equip B			1						weap9	2	armo9	1	weap12	6	armo12	3	weap15	14	armo15	7	weap18	2	armo18	1	Act 2 Equip A	60			36	96	0.625	0
Act 2 Equip C			1						weap12	2	armo12	1	weap15	6	armo15	3	weap18	14	armo18	7	weap21	2	armo21	1	Act 2 Equip B	80			36	116	0.6897	0
Act 3 Equip A			1						weap15	2	armo15	1	weap18	6	armo18	3	weap21	14	armo21	7	weap24	2	armo24	1	Act 2 Equip C	100			36	136	0.7353	0
Act 3 Equip B			1						weap18	2	armo18	1	weap21	6	armo21	3	weap24	14	armo24	7	weap27	2	armo27	1	Act 3 Equip A	200			36	236	0.8475	0
Act 3 Equip C			1						weap21	2	armo21	1	weap24	6	armo24	3	weap27	14	armo27	7	weap30	2	armo30	1	Act 3 Equip B	340			36	376	0.9043	0
Act 4 Equip A			1						weap24	2	armo24	1	weap27	6	armo27	3	weap30	14	armo30	4	weap33	2	armo33	1	Act 3 Equip C	430			33	463	0.9287	0
Act 4 Equip B			1						weap27	2	armo27	1	weap30	6	armo30	3	weap33	14	armo33	3	weap36	2	armo36	1	Act 4 Equip A	500			32	532	0.9398	0
Act 5 Equip A			1						weap27	2	armo27	1	weap30	6	armo30	3	weap33	14	armo33	3	weap36	7	armo36	5	Act 4 Equip B	629			41	670	0.9388	0
Act 5 Equip B			1						weap30	2	armo30	1	weap33	6	armo33	2	weap36	14	armo36	7	weap39	2	armo39	1	Act 5 Equip A	731			35	766	0.9543	0
Act 5 Equip C			1						weap30	2	armo30	1	weap33	6	armo33	2	weap36	14	armo36	7	weap39	2	armo39	1	Act 5 Equip B	833			35	868	0.9597	0
Act 1 (N) Equip A			1						weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	2	armo42	1	Act 5 Equip C	935			36	971	0.9629	0
Act 1 (N) Equip B			1						weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	6	armo42	3	Act 1 (N) Equip A	1105			42	1147	0.9634	0
Act 1 (N) Equip C			1						weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	2	armo45	1	Act 1 (N) Equip A	1020			36	1056	0.9659	0
Act 2 (N) Equip A			1						weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	6	armo45	3	Act 1 (N) Equip B	1233			42	1275	0.9671	0
Act 2 (N) Equip B			1						weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	2	armo48	1	Act 2 (N) Equip A	1105			36	1141	0.9684	0
Act 2 (N) Equip C			1						weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	6	armo48	3	Act 2 (N) Equip A	1318			42	1360	0.9691	0
Act 3 (N) Equip A			1						weap42	2	armo42	1	weap45	6	armo45	3	weap48	14	armo48	7	weap51	2	armo51	1	Act 2 (N) Equip B	1190			36	1226	0.9706	0
Act 3 (N) Equip B			1						weap42	2	armo42	1	weap45	6	armo45	3	weap48	14	armo48	7	weap51	6	armo51	3	Act 3 (N) Equip A	1445			42	1487	0.9718	0
Act 3 (N) Equip C			1						weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	2	armo54	1	Act 3 (N) Equip A	1275			36	1311	0.9725	0
Act 4 (N) Equip A			1						weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	6	armo54	3	Act 3 (N) Equip B	1530			42	1572	0.9733	0
Act 4 (N) Equip B			1						weap48	2	armo48	1	weap51	6	armo51	3	weap54	14	armo54	7	weap57	2	armo57	1	Act 4 (N) Equip A	1360			36	1396	0.9742	0
Act 4 (N) Equip C			1						weap48	2	armo48	1	weap51	6	armo51	3	weap54	14	armo54	7	weap57	6	armo57	3	Act 4 (N) Equip A	1658			42	1700	0.9753	0
Act 5 (N) Equip A			1						weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	2	armo60	1	Act 4 (N) Equip B	1445			36	1481	0.9757	0
Act 5 (N) Equip B			1						weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	6	armo60	3	Act 5 (N) Equip A	1743			42	1785	0.9765	0
Act 5 (N) Equip C			1						weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	2	armo63	1	Act 5 (N) Equip B	1530			36	1566	0.977	0
Act 1 (H) Equip A			1						weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	6	armo63	3	Act 5 (N) Equip C	1785			42	1827	0.977	0
Act 1 (H) Equip B			1						weap57	2	armo57	1	weap60	6	armo60	3	weap63	14	armo63	7	weap66	2	armo66	1	Act 1 (H) Equip A	1530			36	1566	0.977	0
Act 1 (H) Equip C			1						weap57	2	armo57	1	weap60	6	armo60	3	weap63	14	armo63	7	weap66	6	armo66	3	Act 1 (H) Equip A	1785			42	1827	0.977	0
Act 2 (H) Equip A			1						weap60	2	armo60	1	weap63	6	armo63	3	weap66	14	armo66	7	weap69	2	armo69	1	Act 1 (H) Equip B	1530			36	1566	0.977	0
Act 2 (H) Equip B			1						weap60	2	armo60	1	weap63	6	armo63	3	weap66	14	armo66	7	weap69	6	armo69	3	Act 2 (H) Equip A	1785			42	1827	0.977	0
Act 2 (H) Equip C			1						weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	2	armo72	1	Act 2 (H) Equip A	1530			36	1566	0.977	0
Act 3 (H) Equip A			1						weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	6	armo72	3	Act 2 (H) Equip B	1785			42	1827	0.977	0
Act 3 (H) Equip B			1						weap66	2	armo66	1	weap69	6	armo69	3	weap72	14	armo72	7	weap75	2	armo75	1	Act 3 (H) Equip A	1530			36	1566	0.977	0
Act 3 (H) Equip C			1						weap66	2	armo66	1	weap69	6	armo69	3	weap72	14	armo72	7	weap75	6	armo75	3	Act 3 (H) Equip A	1785			42	1827	0.977	0
Act 4 (H) Equip A			1						weap69	2	armo69	1	weap72	6	armo72	3	weap75	14	armo75	7	weap78	2	armo78	1	Act 3 (H) Equip B	1530			36	1566	0.977	0
Act 4 (H) Equip B			1						weap69	2	armo69	1	weap72	6	armo72	3	weap75	14	armo75	7	weap78	6	armo78	3	Act 4 (H) Equip A	1785			42	1827	0.977	0
Act 4 (H) Equip C			1						weap72	2	armo72	1	weap75	6	armo75	3	weap78	14	armo78	7	weap81	2	armo81	1	Act 4 (H) Equip A	1530			36	1566	0.977	0
Act 5 (H) Equip A			1						weap75	2	armo75	1	weap78	6	armo78	3	weap81	14	armo81	7	weap84	2	armo84	1	Act 4 (H) Equip B	1530			36	1566	0.977	0
Act 5 (H) Equip B			1						weap78	2	armo78	1	weap81	6	armo81	3	weap84	14	armo84	7	weap87	2	armo87	1	Act 5 (H) Equip A	1530			36	1566	0.977	0
Act 5 (H) Equip C			1						weap81	2	armo81	1	weap84	6	armo84	3	weap87	14	armo87	7	weap87	1	armo87	1	Act 5 (H) Equip B	1530			35	1565	0.9776	0
Act 1 Melee A			1						mele3	7	armo3	7																				0
Act 1 Melee B			1						mele3	3	armo3	3	mele6	7	armo6	7																0
Act 1 Melee C			1						mele3	2	armo3	1	mele6	6	armo6	3	mele9	14	armo9	7	mele12	2	armo12	1								0
Act 2 Melee A			1						mele6	2	armo6	1	mele9	6	armo9	3	mele12	14	armo12	7	mele15	2	armo15	1	Act 1 Melee C	30			36	66	0.4545	0
Act 2 Melee B			1						mele9	2	armo9	1	mele12	6	armo12	3	mele15	14	armo15	7	mele18	2	armo18	1	Act 2 Melee A	60			36	96	0.625	0
Act 2 Melee C			1						mele12	2	armo12	1	mele15	6	armo15	3	mele18	14	armo18	7	mele21	2	armo21	1	Act 2 Melee B	90			36	126	0.7143	0
Act 3 Melee A			1						mele15	2	armo15	1	mele18	6	armo18	3	mele21	14	armo21	7	mele24	2	armo24	1	Act 2 Melee C	120			36	156	0.7692	0
Act 3 Melee B			1						mele18	2	armo18	1	mele21	6	armo21	3	mele24	14	armo24	7	mele27	2	armo27	1	Act 3 Melee A	150			36	186	0.8065	0
Act 3 Melee C			1						mele21	2	armo21	1	mele24	6	armo24	3	mele27	14	armo27	7	mele30	2	armo30	1	Act 3 Melee B	180			36	216	0.8333	0
Act 4 Melee A			1						mele24	2	armo24	1	mele27	6	armo27	3	mele30	14	armo30	4	mele33	2	armo33	1	Act 3 Melee C	210			33	243	0.8642	0
Act 4 Melee B			1						mele27	2	armo27	1	mele30	6	armo30	3	mele33	14	armo33	3	mele36	2	armo36	1	Act 4 Melee A	260			32	292	0.8904	0
Act 5 Melee A			1						mele27	2	armo27	1	mele30	6	armo30	3	mele33	14	armo33	3	mele36	7	armo36	5	Act 4 Melee B	400			41	441	0.907	0
Act 5 Melee B			1						mele30	2	armo30	1	mele33	6	armo33	2	mele36	14	armo36	7	mele39	2	armo39	1	Act 5 Melee A	489			35	524	0.9332	0
