Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword21	Deception	1		tors								2	Sa Wa    	r15	r27					dmg%		-25	-25	allskills		1	2	crush		65	65	hp		25	25	dex		20	20	thorns%		100	100	move2		20	20	0
Runeword22	Dodge	1		shld								3	Ka Wa Su   	r04	r27	r43				ac%		150	225	skill	Evade	2	2	dex		40	40	block		30	30	ac-miss		150	150	ac-hth		250	250	block3		30	30	0
Runeword23	Dome	1		shld								4	Ma Ru Ya Ne  	r33	r24	r11	r41			ac%		175	200	ac		80	120	light-thorns		125	125	block		15	15	red-dmg%		18	18	red-mag		20	20	block3		30	30	0
Runeword24	Echo	1		weap								5	Ha N Ki yo U 	r28	r05	r08	r07	r02		dmg%		100	125	allskills		2	2	deadly		75	75	swing3		60	60	att%		40	40	oskill	War Cry	1	1	att-skill	Shock Wave	15	1	0
Runeword25	Destruction	1		mace	hamm	club						3	Ha Ka I   	r28	r04	r01				dmg%		140	180	allskills		1	2	crush		50	50	deadly		50	50	ignore-ac		1	1	swing2		30	30	dmg/lvl	16			0
Runeword26	Efficiency	1		tors								4	Ko U Ri Tsu  	r19	r02	r09	r13			ac%		110	190	move1		10	20	swing1		10	20	regen		20	40	regen-mana		60	120	res-all		10	20	addxp		10	20	0
Runeword27	Golden Dragon	1		tors								6	Ki N No Ri yu U	r08	r05	r36	r09	r16	r02	ac%		150	150	aura	Holy Shock	20	20	res-all		40	40	abs-ltng%		50	50	light-thorns		250	250	att-skill	Chain Lightning	9	22	oskill	Inferno	20	20	0
Runeword28	Dread	1		shld								4	O So Re Ru  	r21	r39	r42	r24			ac%		150	150	nec		4	4	thorns%		100	100	thorns/lvl	112			skill	Lower Resist	3	6	skill	Amplify Damage	8	10	skill	Iron Maiden	4	6	0
Runeword29	Dream	1		helm								2	Yu Me    	r16	r23					ac%		60	60	allskills		1	1	enr		15	15	cast2		20	20	dmg-to-mana		40	40	mana-kill		6	6	fade		1	1	0
Runeword30	Duress	1		spea	pole							5	Ki yo U Ha Ku 	r08	r50	r02	r28	r06		dmg%		150	150	allskills		3	3	dur		50	50	rep-dur	100			lifesteal		5	10	manasteal		5	10	swing2		20	40	0
Runeword31	Edge	1		swor	knif	axe						2	Fu Chi    	r32	r14					dmg%		160	220	allskills		3	3	deadly		75	75	openwounds		100	100	swing2		20	30	skill	Zeal	5	5	rep-dur	100			0
Runeword32	Destiny	1		swor								4	U N Me I  	r02	r05	r23	r01			dmg%		150	150	allskills		2	2	att%		50	50	deadly		50	50	swing2		20	20	rep-dur	10			oskill	Conversion	2	2	0
Runeword33	Evil	1		knif								2	A Ku    	r12	r06					dmg%		60	60	crush		60	60	lifesteal		60	60	manasteal		60	60	heal-kill		6	6	mana-kill		6	6	swing3		60	60	0
Runeword34	Enlightenment	1		helm								4	Ke I Mo U  	r17	r01	r35	r02			addxp		20	20	allskills		2	2	all-stats		20	20	light		5	5	hp%		20	20	mana%		20	20					0
Runeword35	Envy	1		armo								4	U Ra Ya Mu  	r02	r20	r11	r40			ac%		200	200	allskills		1	1	red-dmg		20	20	red-mag		20	20	ease		-25	-25	aura	Defiance	8	8	state	fullsetgeneric	1	1	0
Runeword36	Eternity	1		tors								4	E I E N  	r18	r01	r18	r05			ac		125	125	indestruct		1	1	red-mag		15	15	red-dmg		15	15	res-all		18	18	regen		40	40	regen-mana		160	160	0
Runeword37	Fade	1		mace	hamm							5	I Ro A Se Ru 	r01	r38	r12	r31	r24		dmg%		250	250	fade		1	1	crush		50	50	stupidity		1	1	noheal		1	1	dmg-cold	250	100	250	red-dmg%		15	15	0
Runeword38	Faith	1		shld								4	Shi N Ko U  	r03	r05	r19	r02			ac%		140	140	pal		2	2	skill	Prayer	6	6	skill	Holy Bolt	8	8	skill	Blessed Hammer	4	4	skill	Fist of the Heavens	2	2	red-dmg%		14	14	0
Runeword39	Famine	1		tors								3	Ki Ki N   	r08	r08	r05				ac/lvl	80			regen		-30	-30	lifesteal		6	12	manasteal		6	12	heal-kill		10	10	mana-kill		10	10	stamdrain		100	100	0
Runeword40	Feminine	1		miss	staf							6	O N Na Ra Shi I	r21	r05	r29	r20	r03	r01	ac%		150	150	sor		5	5	ama		4	4	hp%		20	20	mana%		20	20	cast3		30	30	swing3		30	30	0
Runeword41	Stomach Ache	1		tors								4	Fu Ku Tsu U  	r32	r06	r13	r02			ac%		175	175	aura	Cleansing	6	6	oskill	Salvation	1	1	oskill	Poison Explosion	12	12	charged	Poison Nova	15	30	dmg-pois	175	293	293	dmg-pois/lvl	60			0
Runeword42	Fortune	1		weap								4	Ko O U N  	r19	r21	r02	r05			dmg%		80	80	mag%		150	150	gold%		400	400	skill	Find Item	5	5	oskill	Find Item	5	5	gold%/lvl	12			mag%/lvl	12			0
Runeword43	Fortress	1		shld								4	Yo U Sa I  	r07	r02	r15	r01			ac%		100	100	block		10	10	block1		10	10	ac/lvl	8			gethit-skill	Bone Prison	3	9									0
Runeword44	Fury	1		mele								4	O Ru So N  	r21	r24	r39	r05			dmg%		200	200	swing3		40	40	noheal		1	1	openwounds		60	60	crush		20	20	deadly		40	40	skill	Berserk	7	7	0
Runeword45	Gloom	1		pole	spea	npol						4	Yu U U Tsu  	r16	r02	r02	r13			dmg%		100	100	light		-5	-5	hit-skill	Weaken	7	7	gethit-skill	Poison Nova	10	8	charged	Poison Explosion	3	15	att-skill	Bone Spirit	8	6	rep-dur	100			0
Runeword46	Glory	1		shld								4	E I Ko U  	r18	r01	r19	r02			ac		60	60	block		15	15	block1		15	15	light-thorns		60	60	str		20	20	hp/lvl	16							0
Runeword47	Frostbite	1		axe								4	Shi Mo Ya Ke  	r03	r35	r11	r17			dmg%		200	200	dmg-cold	500	160	180	dmg-cold/lvl	32			freeze		3	3	hit-skill	Frozen Orb	7	24	gethit-skill	Blizzard	7	24	openwounds		25	25	0
Runeword48	Revenge	1		weap								6	Ho U Fu Ku Su Ru	r22	r02	r32	r06	r43	r24	dmg%		200	200	thorns		200	200	thorns/lvl	100			gethit-skill	Static Field	100	30	lifesteal		10	10									0
Runeword49	Harmony	1		tors								3	Wa So I   	r27	r39	r01				ac%		130	130	dmg%		30	30	balance3		30	30	swing3		30	30	move3		30	30	cast3		30	30	block3		30	30	0
Runeword50	Hatred	1		blun								4	Ni Ku Shi Mi  	r30	r06	r03	r10			dmg%		165	205	crush		35	35	slow		100	100	dmg-demon		250	250	dmg-undead		200	200	dmg-ac		-15	-15	dmg-pois	400	256	256	0
Runeword51	Healthy	1		tors								4	Ke N Ko U  	r17	r05	r19	r02			ac/lvl	40			hp%		20	20	regen		30	30	red-dmg%		16	16	red-mag		16	16	move1		18	18	stam		50	50	0
Runeword52	Heaven's Will	1		scep	bedg							5	Te N No I Shi 	r37	r05	r36	r01	r03		dmg%		195	245	pal		5	5	dmg-mag		50	150	dmg-demon		250	250	dmg-undead		200	200	hit-skill	Fist of the Heavens	10	40	skill	Conversion	20	20	0
Runeword53	Holy	1		weap								4	Shi N Se I  	r03	r05	r31	r01			dmg%		175	215	allskills		4	4	att%		75	75	light		4	4	res-all		35	35	dmg-ltng		25	125	dmg-ltng/lvl	48			0
Runeword54	Thunder	1		scep	bedg							4	Ra I Me I  	r20	r01	r23	r01			dmg%		100	100	dmg-ltng		64	256	dmg-ltng/lvl	64			res-ltng		75	75	res-ltng-max		20	20	skill	Holy Shock	4	4	hit-skill	Chain Lightning	10	14	0
Runeword55	Honor	1		mele								3	Me I Yo   	r23	r01	r07				dmg%		160	160	allskills		2	2	regen		25	25	att		200	200	deadly		25	25	str		20	20	dex		20	20	0
Runeword56	Humble	1		miss								4	Ke N Ki yo  	r17	r05	r08	r07			dmg%		125	125	ama		2	2	att%		25	25	swing2		25	25	deadly		25	25	pierce		5	15					0
Runeword57	Insanity	1		tors								4	Ki yo U Ki  	r08	r50	r02	r08			ac/lvl	16			swing1		20	20	move2		20	20	block2		20	20	balance2		20	20	cast2		20	20					0
Runeword58	Hunger	1		swor	spea	axe						4	Ku U Fu Ku  	r06	r02	r32	r06			dmg%		150	225	lifesteal		18	18	manasteal		12	12	swing3		30	30	hit-skill	Life Tap	7	8	oskill	Redemption	1	6	oskill	Cycle of Life	10	10	0
Runeword59	Ice	1		weap								3	Ko U Ri   	r19	r02	r09				dmg%		75	75	dmg-cold	200	50	100	dmg-cold/lvl	56			att		100	100	deadly		15	15	hit-skill	Ice Bolt	40	10					0
Runeword60	Learned One	1		helm								4	Se N Se I  	r31	r05	r31	r01			ac%		150	150	allskills		3	3	enr		20	20	deadly		20	20	cast1		20	20	swing1		20	20	att%		20	20	0
Runeword61	Lethal	1		mele								5	Chi Me I Te Ki 	r14	r23	r01	r37	r08		dmg%		250	250	deadly		75	75	crush		50	50	swing1		15	15	dmg/lvl	8											0
Runeword62	Insight	1		tors								6	Mi Nu Ku Chi Ka Ra	r10	r45	r06	r14	r04	r20	ac%		190	190	allskills		4	4	all-stats		20	20	cast2		30	30	swing3		40	40	att		150	150					0
Runeword63	Jealousy	1		helm								3	Shi Tsu To   	r03	r13	r26				ac%		100	100	mana-kill		15	15	heal-kill		15	15	lifesteal		6	6	manasteal		6	6	mag%		45	45					0
Runeword64	Judgment	1		scep	bedg							4	Ha N Ke Tsu  	r28	r05	r17	r13			dmg%		150	150	dmg/lvl	16			dmg-ltng		50	200	dmg-ltng/lvl	40			allskills		3	3	hit-skill	Lower Resist	8	5	hit-skill	Amplify Damage	8	5	0
Runeword65	Lord	1		swor	scep	spea	axe	bedg				5	Shi Ha I Shi ya 	r03	r28	r01	r03	r52		dmg%		150	150	allskills		1	1	pal		4	4	att		150	150	dmg-demon		150	150	dmg-undead		150	150	swing1		30	30	0
Runeword66	Machine	1		weap								3	Ki Ka I   	r08	r04	r01				dmg%		50	50	swing3		40	40	move1		15	15	balance1		10	10	dmg/lvl	10											0
Runeword67	Maiden	1		tors	helm							3	O To Me   	r21	r26	r23				ac%		150	150	ama		2	2	sor		2	2	dex		25	25	enr		25	25	hp		50	50	ease		-35	-35	0
Runeword68	Knowledge	1		helm								3	Chi Shi Ki   	r14	r03	r08				dmg%		10	10	allskills		1	1	all-stats		10	10	att%		10	10													0
Runeword69	Medicine	1		shld								4	Ya Ku Hi N  	r11	r06	r34	r05			res-all		40	40	res-pois-len		100	100	abs-fire%		30	30	abs-ltng%		30	30	abs-cold%		30	30	abs-mag%		15	15	nofreeze		1	1	0
Runeword70	Law	1		scep	hamm	mace	axe	bedg				4	Ho U Ri Tsu  	r22	r02	r09	r13			dmg%		150	150	dmg-undead		200	200	dmg-demon		200	200	skill	Vengeance	8	8	dmg-ltng		50	250	dmg/lvl	40			hit-skill	Blessed Hammer	8	15	0
Runeword71	Radioactive	1		weap								4	Ho U Shi Ya  	r22	r02	r03	r11			dmg%		100	100	dmg-pois	800	128	128	dmg-pois/lvl	48			regen		75	75	move3		40	40	swing3		40	40	hit-skill	Poison Nova	10	10	0
Runeword72	Symbol	1		staf								6	Shi yo U Chi yo U	r03	r50	r02	r14	r50	r02	ac/lvl	40			sor		4	4	res-all		15	20	cast3		40	40	mana%		40	40	skill	Warmth	4	4	aura	Prayer	2	2	0
Runeword73	Saiyajin	1		weap								5	Ka Me Ha Me Ha 	r04	r23	r28	r23	r28		dmg%		175	175	swing3		60	60	all-stats		20	20	str		20	20	allskills		3	3	oskill	Teleport	1	1	att-skill	Fire Ball	12	15	0
Runeword74	Lionheart	1		tors								5	Ka I O Na I 	r04	r01	r21	r29	r01		ac%		175	175	str		20	20	skilltab	14	3	3	hp%		20	20	res-all		40	40	red-dmg%		16	16	allskills		1	1	0
Runeword75	Wanderer	1		helm								4	Ru Ro U Ni  	r24	r38	r02	r30			ac%		200	200	allskills		3	3	vit		10	10	crush		20	20	mana-kill		8	8	res-all		30	30	move3		30	30	0
Runeword76	The Lovers	1		weap								5	A I Ko U Ke 	r12	r01	r19	r02	r17		dmg%		150	150	allskills		2	2	dmg-fire		60	120	dmg-cold	150	60	120	lifesteal		6	6	manasteal		6	6	att%		20	20	0
Runeword77	Hiten Misturugi Ryu	1		swor								4	Ke N Shi N  	r17	r05	r03	r05			dmg%		125	125	dmg%/lvl	16			att		100	100	att/lvl	12			deadly		25	25	crush		25	25	swing3		30	30	0
Runeword78	Ascend	1		tors								6	Shi yo Ri yu Ke N	r03	r50	r09	r55	r17	r05	ac%		100	100	allskills		3	3	all-stats		15	20	move1		20	20	swing2		30	30									0
Runeword79	Dark Star	1		tors								6	Hi Ka Ri No Ke N	r34	r04	r09	r36	r17	r05	ac%		225	300	abs-mag%		20	20	red-dmg%		20	20	gethit-skill	Decrepify	8	3	charged	Bone Armor	3	15	ease		-35	-35	abs-ltng%		15	15	0
Runeword80	Noble Ogre	1		mele								4	Ta Ma Ho Me  	r25	r33	r22	r23			dmg%		175	175	swing1		20	20	att		200	200	str		25	25	str/lvl	4			vit		15	15	red-dmg%		15	15	0
Runeword81	Malice	1		mele								3	A Ku I   	r12	r06	r01				dmg%		50	50	openwounds		100	100	dmg-ac		-20	-20	noheal		1	1	rip		1	1	crush		20	20	lifesteal		12	12	0
Runeword82	Melody	1		miss								3	Ki yo Ku   	r08	r50	r06				dmg%		50	50	skilltab	0	1	1	skill	Critical Strike	2	2	skill	Dodge	2	2	skill	Slow Missiles	3	3	dmg-undead		300	300	aura	Defiance	2	2	0
Runeword83	Memory	1		staf	mana							3	Ki O Ku   	r08	r21	r06				ac%		50	50	sor		2	2	mana%		20	20	red-mag		7	7	cast3		30	30	skill	Energy Shield	3	3	skill	Static Field	3	3	0
Runeword84	Mist	1		tors								2	Mo Ya    	r35	r11					ac%		185	185	allskills		2	2	move3		30	30	swing3		30	30	ac-hth		150	150	skill	Evade	2	2					0
Runeword85	Savant	1		armo								3	Yu Ri Ka   	r16	r09	r04				ac%		80	80	allskills		1	1	balance1		15	15	block1		10	10	move1		15	15	cast1		10	10	res-all		18	18	0
Runeword86	Opposing Destiny	1		mace	hamm	club	swor					3	A Ki To   	r12	r08	r26				dmg%		150	150	bar		2	2	dru		2	2	skill	Sword Mastery	3	3	skill	Mace Mastery	3	3	skill	Feral Rage	3	3	skill	Maul	3	3	0
Runeword87	Myth	1		xbow								3	Shi N Wa   	r03	r05	r27				dmg%		150	200	ama		3	3	dmg-ac		-10	-10	explosivearrow		1	1	swing3		40	40	magicarrow		1	1					0
Runeword88	Princess	1		helm								4	A Me Ri A  	r12	r23	r09	r12			ac%		125	125	mag%		50	50	light		-3	-3	oskill	Cloak of Shadows	9	9	gold%		150	150	ease		-75	-75	dex		20	20	0
Runeword89	Nature's Kingdom	1		mele								4	Mo No No Ke  	r35	r36	r36	r17			dmg%		175	175	skilltab	15	5	5	swing3		50	50	move2		20	20	skill	Shape Shifting	5	5	skill	Summon Spirit Wolf	6	6	skill	Summon Fenris	4	4	0
Runeword90	Cherry Blossom	1		helm								3	Sa Ku Ra   	r15	r06	r20				ac%		100	100	hp		50	50	mag%		50	50	regen		25	25	regen-mana		85	85	res-all		12	18	allskills		1	1	0
Runeword91	Oath	1		tors								3	Chi Ka I   	r14	r04	r01				ac%		85	100	vit		10	10	red-dmg		12	12	str		15	20	block		10	10	regen		20	20	allskills		1	1	0
Runeword92	Obedience	1		weap								6	A Ya Na Mi Re I	r12	r11	r29	r10	r42	r01	dmg%		275	275	allskills		4	4	hp%		30	30	rep-dur	10			swing3		50	50	charged	Shadow Master	1	35	knock		512	512	0
Runeword93	Psychic	1		helm								3	A Ki Ra   	r12	r08	r20				ac%		45	90	mana%		25	25	red-mag		15	15	red-dmg		10	10	skill	Telekinesis	30	30	oskill	Telekinesis	30	30	allskills		2	2	0
Runeword94	Master Key	1		h2h								3	Te N Chi   	r37	r05	r14				dmg%		240	240	ass		4	4	gold%		175	175	mag%		125	125	swing3		45	45	mag%/lvl	16			dmg/lvl	16			0
Runeword95	Discipline	1		swor								3	Mo To Ko   	r35	r26	r19				dmg%		200	250	swing3		30	30	dmg-mag		50	200	res-mag		50	50	ac		400	400	dex		50	50	deadly		45	45	0
Runeword96	Patience	1		weap								4	Ni N Ta I  	r30	r05	r25	r01			dmg%/time	2	1	400	crush/time	2	1	100	deadly/time	2	1	100	mag%/time	2	1	200	str/time	2	1	45	dex/time	2	1	45	allskills		3	3	0
Runeword97	Pattern	1		mace	hamm	club						3	Mo Yo U   	r35	r07	r02				dmg-pois	200	256	512	dmg-ltng		50	750	dmg-cold	100	45	545	dmg-fire		100	900	dmg-mag		50	400	res-all		36	36	swing2		20	20	0
Runeword98	Peace	1		helm								3	He I Wa   	r44	r01	r27				ac%		150	200	allskills		4	4	enr		30	30	vit		30	30	res-all		35	45	regen		30	30	regen-mana		100	100	0
Runeword99	Winter	1		staf	mana							2	Fu Yu    	r32	r16					skilltab	5	4	4	aura	Holy Freeze	11	15	nofreeze		1	1	abs-cold%		100	100	pierce-cold		20	20	extra-cold		20	20					0
Runeword100	Composure	1		swor								3	U Ki yo   	r02	r08	r50				dmg%		50	50	skill	Sword Mastery	5	5	light		-15	-15	aura	Blessed Aim	1	1	att-skill	Fire Bolt	10	10	oskill	Sword Mastery	5	5	dmg/lvl	12			0
Runeword101	Conquest	1		shld								3	Shi Shi O   	r03	r03	r21				ac%		75	75	ac%/lvl	12			block		16	16	block2		20	20	res-all		19	19	red-dmg		15	15					0
Runeword102	Mibu's Wolf	1		swor								3	Sa I To   	r15	r01	r26				dmg%		150	175	att-demon		150	150	dmg-demon		200	200	swing2		30	30	noheal		1	1	oskill	Summon Spirit Wolf	9	9	oskill	Summon Fenris	6	6	0
Runeword103	Phoenix	1		tors								5	Fu Shi Chi yo U 	r32	r03	r14	r07	r02		ac%		175	175	res-all		30	40	gethit-skill	Nova	10	30	red-mag		20	20	red-dmg		15	15	abs-fire%		50	50	abs-ltng%		50	50	0
Runeword104	Jurai	1		spea	pole							3	Tsu Na Mi   	r13	r29	r10				dmg%		150	150	dmg-cold	200	30	300	freeze		4	4	att		150	150	swing2		30	30	dmg-cold/lvl	60			oskill	Hurricane	5	5	0
Runeword105	Pillar of Faith	1		shld								3	Ha Shi Ra   	r28	r03	r20				ac		80	80	pal		2	2	skill	Holy Shield	3	3	block		15	15	res-all		15	15	res-mag		20	20	ac/lvl	6			0
Runeword106	Illustrious	1		tors								4	A Yu Ka Wa  	r12	r16	r04	r27			ac%		75	75	dex		25	25	str		20	20	hp		75	75	thorns		100	100	deadly		40	40	ac%/lvl	10			0
Runeword107	Praise	1		tors	helm							3	Ho Me Ru   	r22	r23	r24				ac%		140	160	res-all		20	20	hp		50	50	str		20	20	balance3		30	30	light		5	5	ease		-20	-20	0
Runeword108	Prayer	1		scep	bedg							3	I No Ri   	r01	r36	r09				dmg%		150	200	skill	Prayer	6	6	skilltab	10	3	3	skilltab	11	3	3	swing3		40	40	dex		30	30	att		250	250	0
Runeword109	Pride	1		tors								5	Ho Ko Ra Shi Sa 	r22	r19	r20	r03	r15		ac%		125	150	vit		15	15	red-dmg		12	12	allskills		1	1	str		20	20	res-ltng		45	45	res-all		15	15	0
Runeword110	Indominable	1		tors								3	Ra N Ma   	r20	r05	r33				ac%		200	300	nofreeze		1	1	res-pois-len		75	100	block		25	25	balance3		40	40	hp%		25	25	rep-dur	50			0
Runeword111	Royalty	1		helm								3	A E Ka   	r12	r18	r04				ac/lvl	8			allskills		1	1	lifesteal		10	10	mag%		100	100	gold%		200	200	skilltab	10	1	1	skilltab	11	1	1	0
Runeword112	Journey	1		tors								4	Ri yo Ko U  	r09	r50	r19	r02			ac/lvl	16			move3		30	30	stam		100	100	regen-stam		50	50	stamdrain		25	25	res-all		15	15	charged	Find Potion	100	20	0
Runeword113	Impetuous	1		tors								3	Mi Sa To   	r10	r15	r26				ac%		150	150	allskills		2	2	vit		15	15	dex		20	20	move3		30	30	balance2		20	20	res-all		18	18	0
Runeword114	Animal Friend	1		tors								4	Na U Shi Ka  	r29	r02	r03	r04			skilltab	15	4	4	regen-mana		125	125	regen		35	35	str		25	25	dex		20	20	enr		15	15	vit		25	25	0
Runeword115	Question	1		tors								4	Shi Tsu Mo N  	r03	r13	r35	r05			ac		500	500	manasteal		12	12	lifesteal		12	12	res-pois-len		75	75	stupidity		1	1	hit-skill	Confuse	5	3	allskills		3	3	0
Runeword116	Radiance	1		helm								3	Hi Ka Ru   	r34	r04	r24				ac%		125	175	light		5	5	enr		20	20	vit		25	25	red-mag		20	20	mag%		150	150	move2		25	25	0
Runeword117	Rain	1		wand	knif	staf						2	A Me    	r12	r23					ac%		25	25	allskills		2	2	charged	Thunder Storm	15	10	oskill	Lightning	5	10	enr		10	10	cast2		20	20	oskill	Ice Blast	5	10	0
Runeword118	Reason	1		helm								3	Ri Yu U   	r09	r16	r02				ac/lvl		12		allskills		1	1	cast1		15	15	mana%		18	18	mana-kill		6	6	regen-mana		75	75	hp		30	30	0
Runeword119	Red	1		weap								3	A Ka I   	r12	r04	r01				dmg%		80	100	openwounds		100	100	bloody		1	1	lifesteal		9	9	swing2		25	25	hit-skill	Life Tap	6	8					0
Runeword120	Secret	1		shld								3	Shi Ni Ta   	r03	r30	r25				block2		20	20	block		20	20	res-all		25	25	nofreeze		1	1	mag%		150	150	mag%/lvl	12			allskills		2	2	0
Runeword121	Rift	1		helm								3	Ki Re Tsu   	r08	r42	r13				ac%		175	175	regen		30	30	regen-stam		75	75	regen-mana		100	100	dmg-norm		15	25	red-mag		8	8	res-all		25	35	0
Runeword122	Grand Leon	1		swor	asns							4	Ma Sa Mu Ne  	r33	r15	r40	r41			dmg%		300	300	allskills		1	1	crush		50	50	str		40	40	knock		1	1									0
Runeword123	Serendipity	1		tors								4	Ko U U N  	r19	r02	r02	r05			ac%		100	120	hp		50	50	res-all		15	15	dex		15	15	cast2		20	20	swing2		25	25	red-dmg		8	8	0
Runeword124	Courage	1		tors								6	Ka Mi Ya Ta I Chi	r04	r10	r11	r25	r01	r14	ac%		150	210	red-dmg		12	12	allskills		1	1	dmg-norm		10	15	ac-miss		250	250	balance3		30	30	skilltab	14	3	3	0
Runeword125	Sincerity	1		weap								6	Ta Chi Ka Wa Mi Mi	r25	r14	r04	r27	r10	r10	dmg%		185	215	att%		50	50	deadly		60	60	lifesteal		9	9	dmg-demon		150	150	dmg-undead		150	150	rep-dur	25			0
Runeword126	Silence	1		weap								4	Chi N Mo Ku  	r14	r05	r35	r06			dmg%		175	250	skill	Stun	20	20	stupidity		1	1	swing3		50	50	att		200	200	deadly		40	40	oskill	Stun	10	10	0
