Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
99	891	1451	1936	891	1451	1936	1068	1872	3940	1068	1872	3940	2892	8025	17532	2892	8025	17532	60	80	111	60	80	111	7413	46814	70221	7413	46814	70221
100	900	1466	1954	900	1466	1954	1079	1890	3978	1079	1890	3978	2946	8127	17790	2946	8127	17790	61	81	113	61	81	113	7517	47720	71580	7517	47720	71580
101	909	1479	1972	909	1479	1972	1090	1908	4016	1090	1908	4016	2997	8232	18051	2997	8232	18051	62	82	115	62	82	115	7621	48626	72939	7621	48626	72939
102	918	1492	1990	918	1492	1990	1101	1926	4054	1101	1926	4054	3048	8331	18309	3048	8331	18309	62	82	115	62	82	115	7725	49532	74298	7725	49532	74298
103	927	1506	2008	927	1506	2008	1112	1944	4092	1112	1944	4092	3099	8436	18567	3099	8436	18567	63	84	117	63	84	117	7829	50438	75657	7829	50438	75657
104	936	1519	2026	936	1519	2026	1123	1962	4130	1123	1962	4130	3153	8535	18825	3153	8535	18825	63	84	117	63	84	117	7933	51344	77016	7933	51344	77016
105	945	1533	2044	945	1533	2044	1134	1980	4168	1134	1980	4168	3204	8640	19086	3204	8640	19086	64	85	118	64	85	118	8037	52250	78375	8037	52250	78375
106	954	1547	2062	954	1547	2062	1145	1998	4206	1145	1998	4206	3255	8745	19344	3255	8745	19344	65	86	120	65	86	120	8141	53156	79734	8141	53156	79734
107	963	1560	2078	963	1560	2078	1156	2016	4244	1156	2016	4244	3309	8844	19602	3309	8844	19602	65	86	120	65	86	120	8245	54062	81093	8245	54062	81093
108	972	1573	2098	972	1573	2098	1167	2034	4282	1167	2034	4282	3360	8949	19860	3360	8949	19860	66	88	122	66	88	122	8349	54968	82452	8349	54968	82452
109	981	1587	2116	981	1587	2116	1178	2052	4320	1178	2052	4320	3411	9048	20121	3411	9048	20121	67	89	124	67	89	124	8453	55874	83811	8453	55874	83811
110	2800	2800	2800	2800	2800	2800	6532	6532	6532	6532	6532	6532	10000	10000	10000	10000	10000	10000	130	130	130	130	130	130	160000	160000	160000	160000	160000	160000
