index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Tal Rasha's Horadric Crest	Tal Rasha's Wrappings	xsk	Death Mask	7	999	66	dpur	dpur						5	5000		mana		10	30	hp		60	60	ac		45	45	res-all		15	15	lifesteal		10	10	manasteal		10	10																																																					0
Griswold's Valor	Griswold's Legacy	urn	Corona	7	999	69	dgld	dgld						5	5000	2	ac%		30	75	abs-cold/lvl		2	2	sock		2	2	ease		-40	-40	mag%		20	30	res-all		5	5													skilltab	10	2	2																																					0
Griswold's Heart	Griswold's Legacy	xar	Ornate Plate	7	999	45	dgld	dgld						5	5000		ac		200	500	skilltab	11	2	2	sock		3	3	str		20	20	ease		-40	-40																																																									0
Griswolds's Redemption	Griswold's Legacy	7ws	Caduceus	7	999	53	dgld	dgld						5	5000	2	dmg%		40	240	swing2		40	40	dmg-undead		200	200	ease		-20	-20	sock		3	4																	skilltab	9	2	2					dmg-norm		10	20					dmg-norm		10	20																					0
Griswold's Honor	Griswold's Legacy	paf	Vortex Shield	7	999	68	dgld	dgld						5	5000		ac		25	110	sock	3			block2		65	65	block		20	20	res-all		45	45																																																									0
Trang-Oul's Guise	Trang-Oul's Avatar	uh9	Bone Visage	7	999	65	dgld	dgld						5	5000		ac		50	100	balance2		25	25	thorns		20	20	mana		150	150	regen		5	5																																																									0
Trang-Oul's Scales	Trang-Oul's Avatar	xul	Chaos Armor	7	999	49	dyel	dyel						5	5000	2	ease		-40	-40	ac-miss		100	100	res-pois		40	40	skilltab	8	2	2	move3		40	40	ac%		150	150																					res-ltng		50	50													red-dmg%		25	25													0
Trang-Oul's Wing	Trang-Oul's Avatar	ne9	Cantor Trophy	7	999	54	dyel	dyel						5	5000	2	ac		25	125	str		25	25	dex		15	15	res-fire		38	45	block		30	30	res-pois		40	40	skilltab	7	2	2																	pierce-pois		25	25					regen		15	15																					0
Trang-Oul's Claws	Trang-Oul's Avatar	xmg	Heavy Bracers	7	999	45	dyel	dyel						5	5000		ac		10	30	cast3		20	20	res-cold		30	30	skilltab	6	2	2																																					extra-pois		25	25																					0
Trang-Oul's Girth	Trang-Oul's Avatar	utc	Troll Belt	7	999	47	dyel	dyel						5	5000	2	ac		10	100	stam		30	30	regen		5	5	hp		66	66	nofreeze		1	1	ease		-40	-40	mana		25	50																	res-cold		40	40																													0
M'avina's True Sight	M'avina's Battle Hymn	ci3	Diadem	7	999	59	whit	whit						5	5000	2	ac		25	150	regen		10	10	swing2		30	30	mana		25	25																					allskills		1	1					att%		50	50					res-all		25	25																					0
M'avina's Embrace	M'avina's Battle Hymn	uld	Kraken Shell	7	999	70	whit	whit						5	5000	2	gethit-skill	55	10	3	ease		-30	-30	red-mag		5	12	skilltab	1	2	2	ac/lvl	32			ac		350	350																					balance2		30	30																													0
M'avina's Icy Clutch	M'avina's Battle Hymn	xtg	Battle Gauntlets	7	999	32	whit	whit						5	5000	2	ac		25	50	dmg-cold	150	6	18	half-freeze		1	1	gold%		56	56	str		10	10	dex		15	15																													dmg-cold	100	131	252					extra-cold		20	20													0
M'avina's Tenet	M'avina's Battle Hymn	zvb	Sharkskin Belt	7	999	45	whit	whit						5	5000	2	ac		50	50	move2		20	20	manasteal		5	5	light		5	5																																					res-all		25	25																					0
M'avina's Caster	M'avina's Battle Hymn	amc	Grand Matron Bow	7	999	70	whit	whit						5	5000	2	dmg%		120	190	swing3		40	40	magicarrow		1	1	att		50	50																					dmg-mag		114	377					hit-skill	Nova	10	15					skilltab	0	2	2																					0
Telling of Beads	The Disciple	amu	Amulet	1	999	30	lblu	lblu						5	5000		res-pois		10	50	allskills		1	1	res-cold		18	18	thorns		8	10																																																													0
Laying of Hands	The Disciple	ulg	Bramble Mitts	7	999	63	lblu	lblu						5	5000		ac		5	25	swing2		20	20	res-fire		50	50	dmg-demon		350	350	hit-skill	101	10	3																																																									0
Rite of Passage	The Disciple	xlb	Demonhide Boots	7	999	29	lblu	lblu						5	5000		ac		5	25	move3		30	30	half-freeze		1	1	stam		15	25																																																													0
Spiritual Custodian	The Disciple	uui	Dusk Shroud	7	999	43	lblu	lblu						5	5000		ac		300	415	res-fire		24	24	gethit-skill	48	25	3	dmg-pois	50	125	175																																																													0
Credendum	The Disciple	umc	Mithril Coil	7	999	65	lblu	lblu						5	5000		ac		10	50	str		10	10	dex		10	10	res-all		15	15																																																													0
Dangoon's Teaching	Heaven's Brethren	7ma	Reinforced Mace	7	999	68								5	5000		dmg/lvl	12			swing3		40	40	hit-skill	44	10	3	dmg-fire		20	30																																																													0
Heaven's Taebaek	Heaven's Brethren	uts	Ward	7	999	81								5	5000		ac		10	50	mana		100	100	res-ltng		30	30	thorns		30	30	indestruct		1	1	block		25	25	block3		30	30																																																	0
Haemosu's Adament	Heaven's Brethren	xrs	Cuirass	7	999	44								5	5000		ac		400	500	ac-miss		35	35	hp		75	75	ac-hth		40	40	ease		-20	-20																																																									0
Ondal's Almighty	Heaven's Brethren	uhm	Spired Helm	7	999	69								5	5000		ac		10	50	ease		-40	-40	hit-skill	72	10	3	str		10	10	dex		15	15	balance3		24	24																																																					0
Guillaume's Face	Orphan's Call	xhm	Winged Helm	7	999	34	lgry	lgry						5	5000		ac%		20	120	balance3		30	30	crush		35	35	deadly		15	15	str		15	15																																																									0
Wilhelm's Pride	Orphan's Call	ztb	Battle Belt	7	999	42	lgry	lgry						5	5000		ac%		25	75	manasteal		5	5	res-cold		10	10	lifesteal		5	5																																																													0
Magnus' Skin	Orphan's Call	xvg	Sharkskin Gloves	7	999	37	lgry	lgry						5	5000		ac%		10	50	res-fire		15	15	swing2		20	20	light		3	3	att		100	100																																																									0
Wihtstan's Guard	Orphan's Call	xml	Round Shield	7	999	29	lgry	lgry						5	5000		ac%		25	175	block3		40	40	block		55	55	half-freeze		1	1	light		5	5																																																									0
Hwanin's Splendor	Hwanin's Majesty	xrn	Grand Crown	7	999	45								5	5000		regen		5	20	red-mag		10	10	res-cold		37	37	ac%		100	100																																																													0
Hwanin's Refuge	Hwanin's Majesty	xcl	Tigulated Mail	7	999	30								5	5000		ac		100	200	res-pois		27	27	hp		100	100	gethit-skill	42	10	3																																																													0
Hwanin's Seal	Hwanin's Majesty	mbl	Belt	7	999	35								5	5000		dmg-ltng		5	40	noheal		1	1	ac/lvl	12			dmg-to-mana		12	12																																																													0
Hwanin's Justice	Hwanin's Majesty	9vo	Bill	7	999	28								5	5000		att		100	330	indestruct		1	1	hit-skill	45	10	3	swing3		40	40	dmg%		200	200	dmg-ltng		5	25																																																					0
Sazabi's Cobalt Redeemer	Sazabi's Grand Tribute	7ls	Cryptic Sword	7	999	73	dblu	dblu						5	5000		dmg%		50	150	dmg-cold	50	25	35	swing3		40	40	dmg-demon		318	318	indestruct		1	1	dex		15	15	str		5	5																																																	0
Sazabi's Ghost Liberator	Sazabi's Grand Tribute	upl	Balrog Skin	7	999	67	dblu	dblu						5	5000		ac		200	400	balance3		30	30	str		25	25	att-demon		300	300	hp		50	75																																																									0
Sazabi's Mental Sheath	Sazabi's Grand Tribute	xhl	Basinet	7	999	43	dblu	dblu						5	5000		ac		50	100	allskills		1	1	res-fire		15	20	res-ltng		15	20																																																													0
Bul-Kathos' Sacred Charge	Bul-Kathos' Children	7gd	Colossus Blade	7	999	61	dgrn	dgrn						5	5000		crush		10	35	res-all		20	20	swing2		20	20	knock		1	1	dmg%		200	200																																																									0
Bul-Kathos' Tribal Guardian	Bul-Kathos' Children	7wd	Mythical Sword	7	999	54	dgrn	dgrn						5	5000		res-fire		10	50	dmg-pois	50	255	255	swing2		20	20	str		20	20	dmg%		200	200																																																									0
Cow King's Horns	Cow King's Leathers	xap	War Hat	7	20	25	dyel	dyel						5	5000		ac		25	75	half-freeze		1	1	dmg-to-mana		35	35	thorns		10	10																																																													0
Cow King's Hide	Cow King's Leathers	stu	Studded Leather	7	20	18	dyel	dyel						5	5000		res-all		5	20	ac%		60	60	hp		30	30	gethit-skill	53	18	5																																																													0
Cow King's Hoofs	Cow King's Leathers	vbt	Heavy Boots	7	20	13	dyel	dyel						5	5000		ac		25	35	move3		30	30	mag%		25	25	dex		20	20	dmg-fire		25	35																																																									0
Naj's Puzzler	Naj's Ancient Set	6cs	Elder Staff	7	999	78								5	5000		enr		10	35	dmg%		150	150	charged	54	69	11	cast3		30	30	dmg-ltng		6	45	mana		70	70	allskills		1	1																																																	0
Naj's Light Plate	Naj's Ancient Set	ult	Hellforge Plate	7	999	71								5	5000		ease		-60	-60	hp		65	65	res-all		25	25	dmg-to-mana		45	45	allskills		1	1	ac		300	300																																																					0
Naj's Circlet	Naj's Ancient Set	ci0	Circlet	7	999	28								5	5000		ac		25	75	dmg-fire		25	35	Light		5	5	str		15	15	gethit-skill	53	12	5																																																									0
McAuley's Paragon	McAuley's Folly	cap	Cap	3	999	25	lpur	lpur						5	5000		mag%		5	50	thorns		8	8	ac/lvl	8																																																																			0
McAuley's Riprap	McAuley's Folly	vbt	Heavy Boots	7	999	20	lpur	lpur						5	5000		move3		10	40	att		100	100	str		5	5	dex		10	10																																																													0
McAuley's Taboo	McAuley's Folly	vgl	Heavy Gloves	7	999	28	lpur	lpur						5	5000		ac		10	25	swing2		20	20	hp		40	40	dmg-pois	75	30	36																																																													0
McAuley's Superstition	McAuley's Folly	bwn	Bone Wand	7	999	25	lpur	lpur						5	5000		dmg%	2	20	75	mana		25	25	manasteal		8	8	cast3		20	20	dmg-cold	50	25	75																																																									0
General Class Sets (ES)																																																																																													0
Autolycus' Sword of Venom	Autolycus' Magic Tools	ssd	Short Sword	7	4	3	cred	cred						5	2500	2	dmg-pois	75	64	96	swing3		30	30	dmg-min		9	9	dmg-max		6	6																					dmg-pois	75	64	96	dmg-pois/lvl	16			swing3		30	30	crush		15	15	allskills		1	1	dmg/lvl	16																			0
Autolycus' Robes	Autolycus' Magic Tools	qui	Quilted Armor	7	4	3	blac	blac						5	2500	2	ac		30	30	res-all		10	10	dex		5	5																									ac		20	20	ac/lvl	24			move2		20	20	dex		15	15	red-dmg		1	1	red-mag		1	1																	0
Autolycus' Thieving Tools	Autolycus' Magic Tools	vbl	Light Belt	6	4	3	blac	blac	invlbl					5	2500	2	gold%		150	150	ac		10	10	mag%		25	25																									ac		5	5	ac/lvl	8			mag%		50	50	gold%		50	50	mag%		75	75	gold%		75	75																	0
Gloves of Pickpocketing	Autolycus' Magic Tools	vgl	Leather Gloves	6	4	3	blac	blac						5	2500	2	mag%		50	50	dex		10	10	ac		5	5																									gold%		50	50	mag%		25	25	gold%		100	100	mag%		50	50	gold%		200	200	mag%		100	100																	0
Achilles' Force	Achilles' Advantage	tgl	Heavy Gloves	7	16	15	cblu	cblu						5	2500	2	att%		20	20	dmg%		20	20	swing2		20	20																									att/lvl	10			dmg/lvl	8			att%		25	25	dmg%		25	25																									0
Achilles' Girdle	Achilles' Advantage	hbl	Plated Belt	7	16	15	cblu	cblu						5	2500	2	ac		25	25	str		25	25	thorns		25	25																									light-thorns		25	25	thorns/lvl	40			vit		15	15	str/lvl	4																											0
Achilles' Heel	Achilles' Advantage	mbt	Chain Boots	7	16	15	cblu	cblu						5	2500	2	move3		40	40	res-ltng		-40	-40	regen-stam		25	25																									vit		15	15	enr		15	15	balance3		30	30	dex		30	30																									0
Helm of Spirits	Diablo's End	fhl	Full Helm	6	20	20	cred	cred	inveht					6	5000	2	lifesteal		5	5	manasteal		5	5																													regen		15	15	regen-mana		45	45	ac		30	30	ac/lvl	24			vit		15	15	enr		15	15																	0
