skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Jab	10	ama	jab	5	7																																																																									amazon_jab_1				weapon_1ht_1	weapon_2ht_1								12	16																	1	3		h2h		spea										SQ	A1	xx	1		1	1		1	1								1											1	40													1						1	6	8	1	1										ln34+((skill('Power Strike'.blvl)+skill('Impale'.blvl)+skill('Charged Strike'.blvl)+skill('Fend'.blvl)+skill('Lightning Strike'.blvl))*par8/16)	dmg%											-15	Percent damage base	3	Percent damage per level							48	damage synergy	1	10	9						8	128																																				500
Dopplezon	11	ama	dopplezon		15																	dopplezon				fireresist	"min(lvl*par7,85)"	lightresist	"min(lvl*par7,85)"	coldresist	"min(lvl*par7,85)"	poisonresist	"min(lvl*par7,85)"																											dopplezon	dopplezon	1	NU												dopllezon_appear		amazon_valkyrie_cast																																1	4		none												SC	SC	xx					4																					1	40																			1	6	76	-3	1										lvl*par4 + (skill('Valkyrie'.blvl) * par8)	bonus hp%	ln12	duration	par3	%hp of caster			250	duration of decoy	125	duration per level	50	percent hitpoints of caster	10	hp % bonus per level					4	resistances	10	hp synergy	1								8	64																																				500
Multiple Shot	12	ama	multiple shot	4	8										0		multipleshotarrow	multipleshotbolt																														damagepercent	(skill('Magic Arrow'.blvl)+skill('Guided Arrow'.blvl)+skill('Strafe'.blvl))*par8/16																																										11	17					multipleshotarrow	multipleshotbolt											1	7		rng		miss										A1	A1	xx				1																						8	35													1		1				1	7	8	3	1										"min(24,ln12)"	# missiles	par3	activation frame	2	triggered			2	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.									20	damage synergy	8								8	32																																				500
Dodge	13	ama	dodge																																											dodge		passive_dodge	"min(dm34 + (skill('Avoid'.blvl)/4+skill('Evade'.blvl)/4) * par8, 75)"																												amazon_dodge_1																																1	0		h2h												S1	S1	xx																										8	20					Dopplezon								1						0	8	0	0	1						1												15	min % dodge (old)	2	% dodge per level	10	min % dodge (old)	65	max % dodge (old)							1	dodge synergy	8								8																																					500
Power Strike	14	ama	power strike	6	2																																																																																																								1	4		h2h		spea										A1	A1	xx				1		1	1								1											8	35					Jab								1						1	6	8	1	1																																55	damage synergy	8	20	12						8	128														fire	20	15	30	45	60	75	40	15	30	45	60	75	(skill('Jab'.blvl)+skill('Impale'.blvl)+skill('Poison Javelin'.blvl)+skill('Fend'.blvl))*par8/16									500
Poison Javelin	15	ama	poison javelin	4										pyrejavelin	0																																																														monster_firebolt_1		1												11					pyrejavelin													1	2		rng		jave										TH	TH	xx				1																						8	35													1						1	7	16	1	1																																55	damage synergy	8								7	32														fire	30	30	45	60	75	90	60	30	45	60	75	90	(skill('Jab'.blvl)+skill('Impale'.blvl)+skill('Power Strike'.blvl)+skill('Fend'.blvl))*par8/16									500
Slow Missiles	16	ama	slow missiles		6																50563		slowmissiles	ln34	ln56 + (skill('Inner Sight'.blvl) * par7	skill_handofathena	"max(ln12 + ((skill('Inner Sight'.blvl)+skill('Critical Strike'.blvl)+skill('Penetrate'.blvl)+skill('Pierce'.blvl)) * par8),0)"																																																		amazon_handofathena											cast_slowmissiles																					1	8		none												SC	SC	xx					4												1						amazon_handofathena	cast_slowmissiles		8	35					Inner Sight														1	6	20	-1	1																		33	% velocity for missiles	-1	% velocity per level	300	duration	150	duration per level	20	radius of effect	0	radius per level	1	radius synergy	1	velocity synergy	8								8																																					500
Immolation Arrow	17	ama	immolation arrow	4										immolationarrow	0																																																																												11					immolationarrow													1	6		rng		miss										A1	A1	xx				1																						8	35					Magic Arrow								1		1				1	7	12	1	1										par1	fire disc radius	par2	damage radius					2	Fire disc radius	3	Radial Damage Radius											74	damage synergy	8	30	9						8	128														fire	20	10	15	20	25	30	30	10	15	20	25	30	(skill('Magic Arrow'.blvl)+skill('Exploding Arrow'.blvl)+skill('Ice Arrow'.blvl))*par8/16									500
Avoid	18	ama	avoid																																											avoid		passive_avoid	"min(dm34 + (skill('Dodge'.blvl)/4+skill('Evade'.blvl)/4) * par8, 75)"																												amazon_dodge_1																																1	0		h2h												S1	S1	xx																										16	20					Dodge								1						0	8	0	0	1						1												15	min % to do double damage (old)	2	max % to do double damage (old)	15	min % avoid (old)	65	max % avoid (old)							1	avoid synergy	16								8																																					500
Impale	19	ama	impale	7	2																																																																								amazon_impale_1		1	1																													1	6		h2h		spea										SQ	A1	xx	8		1	1		1	1								1											16	30					Jab								1						1	6	12	1	1										ln12 + ((skill('Jab'.blvl)+skill('Power Strike'.blvl)+skill('Charged Strike'.blvl)+skill('Fend'.blvl)+skill('Lightning Strike'.blvl))*par8/16)	dm%	par6-dm34	dur loss chance	par5	dur loss			300	Percent damage	10	% damage per level	0	% chance durability loss delta min	30	% chance durability loss delta max	1	durability loss	50	% max chance durability loss			40	damage synergy	16	100	25						8	128																																				500
Lightning Bolt	20	ama	lightning bolt	4										frostjavelin	0									ln34 * (100 + skill('Plague Javelin'.blvl) * par7) / 100	ln12 + (skill('Plague Javelin'.blvl)*par6)																																																																		11					frostjavelin													1	6		rng		jave										TH	TH	xx																										16	30					Poison Javelin								1						1	6	24	1	1																		4	radius	0	radius per level	50	freeze frames	5	freeze frames per level			1	radius synergy	5	freeze synergy	67	damage synergy	16								6	64														cold	50	50	75	100	125	150	50	50	75	100	125	150	(skill('Jab'.blvl)+skill('Impale'.blvl)+skill('Plague Javelin'.blvl))*par8/16									500
Freezing Arrow	21	ama	freezing arrow	4										freezingarrow	0																																																																												11					freezingarrow													1	7		rng		miss										A1	A1	xx				1																						16	30					Fire Arrow	Immolation Arrow							1		1				1	7	18	1	1										par1	damage radius							5	Radius of impact											5	length synergy	100	damage synergy	16	40	9						6	64														cold	90	30	45	60	75	90	120	30	45	60	75	90	(skill('Cold Arrow'.blvl)+skill('Magic Arrow'.blvl))*par8/16	50				skill('Cold Arrow'.blvl)*par7				500
Exploding Arrow	22	ama	exploding arrow	4										explodingarrow	0																																																																												11					explodingarrow													1	5		rng		miss										A1	A1	xx				1																						24	25					Immolation Arrow	Multiple Shot							1		1				1	7	10	1	1																																60	damage synergy	24	20	9						7	96														fire	20	10	20	30	40	50	30	10	20	30	40	50	(skill('Magic Arrow'.blvl)+skill('Immolation Arrow'.blvl)+skill('Ice Arrow'.blvl))*par8/16									500
Guided Arrow	23	ama	guided arrow	4	10										0		guidedarrow	guidedarrow	guidedarrow																																																																								11	18					guidedarrow	guidedarrow	guidedarrow										1	4		rng		miss										A1	A1	xx				1																						24	25					Multiple Shot								1		1				1	6	32	-1	1										ln34 + ((skill('Magic Arrow'.blvl)+skill('Multiple Shot'.blvl)+skill('Strafe'.blvl))*par8/16)	dmg%											0	Damage percent	5	damage % per level							60	damage synergy	24								8	128																																				500
Penetrate	24	ama	penetrate																																											penetrate		item_tohit_percent	ln12 + ((skill('Slow Missiles'.blvl)+skill('Inner Sight'.blvl)+skill('Critical Strike'.blvl)+skill('Pierce'.blvl)) * par8)																																																												1	1		rng		spea	miss											xx																										24	25					Critical Strike								1						0	8	0	0	1						1												35	add % to hit with missiles base	10	add % to hit with missiles/level											5	to hit synergy	24								8																																					500
Charged Strike	25	ama	charged strike	6	11												chargedstrikebolt	chargedstrikebolt	chargedstrikebolt																																																																									19					chargedstrikebolt	chargedstrikebolt	chargedstrikebolt										1	5		h2h		spea										A1	A1	xx				1		1	1								1											24	25					Power Strike								1						1	6	16	1	1										par1+lvl/par2	# bolts							3	Bolts to send out	5	Additional bolts per N levels											36	damage synergy	24								8															mag	30	15	30	45	60	75	60	15	30	45	60	75	(skill('Jab'.blvl)+skill('Impale'.blvl)+skill('Lightning Strike'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Fury'.blvl))*par8/16									500
Plague Javelin	26	ama	plague javelin	4										plaguejavelin	0																																																														amazon_cast_poison		1												11					plaguejavelin													1	3		rng		jave										TH	TH	xx				1																						24	25					Lightning Bolt							100	1						1	8	7	1	1																														10	length synergy	60	damage synergy	24	30	9						3	128														pois	30	10	20	30	40	50	50	10	20	30	40	60	(skill('Jab'.blvl)+skill('Impale'.blvl)+skill('Lightning Bolt'.blvl))*par8/16	150								500
Cold Arrow	27	ama	cold arrow	4										poisonarrow	0																																																														amazon_cast_poison		1												11					poisonarrow													1	4		rng		miss										A1	A1	xx				1																						32	20					Freezing Arrow								1		1				1	6	24	1	1																														10	length synergy	80	damage synergy	32	10	9						3	128														pois	30	10	20	30	40	50	50	10	20	30	40	60	(skill('Magic Arrow'.blvl)+skill('Freezing Arrow'.blvl))*par8/16	100								500
Ice Arrow	28	ama	ice arrow	4	11									lightningarrow	0		lightningarrowbolt	lightningarrowbolt	lightningarrowbolt																																																																								11	19				lightningarrow	lightningarrowbolt	lightningarrowbolt	lightningarrowbolt										1	6		rng		miss										A1	A1	xx				1																						32	20					Exploding Arrow								1		1				1	6	24	1	1										par1+lvl/par2	# bolts							3	Bolts to send out	5	Additional bolts per N levels											54	damage synergy	32	20	9						8	64														ltng	30	15	30	45	60	75	60	15	30	45	60	75	(skill('Magic Arrow'.blvl)+skill('Immolation Arrow'.blvl)+skill('Exploding Arrow'.blvl))*par8/16									500
Evade	29	ama	evade																																											evade		passive_evade	"min(dm34 + (skill('Dodge'.blvl)/4+skill('Avoid'.blvl)/4) * par8, 75)"																												amazon_dodge_1																																1	0		h2h												S1	S1	xx																										32	20					Avoid								1						0	8	0	0	1						1												15	min % evade (old)	2	% evade per level	10	min % evade (old)	65	max % evade (old)							1	evade synergy	32								8																																					500
Fend	30	ama	fend	9	13																																																																									amazon_jab_1	1												14	21																	1	0		h2h		spea										A1	A1	xx	9		1			1	1								1											32	20					Impale								1						1	6	20	-1											12	max targets	ln34 + ((skill('Jab'.blvl)+skill('Power Strike'.blvl)+skill('Impale'.blvl)+skill('Charged Strike'.blvl)+skill('Lightning Strike'.blvl))*par8/16)	damage %					1	additional target/level	60	% frame rollback	70	% damage percent	10	damage % per level							32	damage % per level	32	40	10						8	128																																				500
Strafe	31	ama	strafe	8	12												multipleshotarrow	multipleshotbolt							par5																																																				amazon_dodge_1					paladin_charge									13	20					multipleshotarrow	multipleshotbolt											1	0		rng		miss										A1	A1	xx				1																						40	20					Guided Arrow								1		1				1	5	88	-1	1										"min(par3 + lvl - 1, par4)"	#missiles	ln12 + ((skill('Magic Arrow'.blvl)+skill('Multiple Shot'.blvl)+skill('Guided Arrow'.blvl))*par8/16)	damage %	2+lvl/4	min # missiles			5	Damage increase	5	Damage increase per level	4	Base Shots to take (+1 per level)	10	Max shots to take	30	Radius	50	% frame rollback			47	damage synergy	40								8	128																																				500
Valkyrie	32	ama	valkyrie		16																					strength	lvl * par2	dexterity	lvl * par4	fireresist	"min((lvl+skill('Dopplezon'.blvl))*par7,85)"	lightresist	"min((lvl+skill('Dopplezon'.blvl))*par7,85)"	coldresist	"min((lvl+skill('Dopplezon'.blvl))*par7,85)"	poisonresist	"min((lvl+skill('Dopplezon'.blvl))*par7,85)"											item_armor_percent	par3 * (lvl - 1)	tohit	toht									valkyrie	valkyrie	1	NU	dodge	skill('Dodge'.blvl)	avoid	skill('Avoid'.blvl)	Evade	skill('Evade'.blvl)	Critical Strike	skill('Critical Strike'.blvl)						amazon_valkyrie_cast																																1	6		none												SC	SC	xx					4																					40	20					Evade							150							1	8	25	4	1	1									par1 * (lvl - 1) + skill('Dopplezon'.blvl) * par8	bonus hp%	ln56	itemlevel	par3 * (lvl - 1) + skill('Dopplezon'.blvl) * par8	bonus ac%			20	% hitpoints more per level	25	str per level	10	% AC increase per level	12	dex per level	25	Magic Item level	3	Magic Item level per level	2	resistances	10	hp & ac synergy	40			40*lvl+40*skill('Penetrate'.blvl)					8																																					500
Pierce	33	ama	pierce																																											pierce		skill_pierce	"min(ln12 + (skill('Inner Sight'.blvl)/4 + skill('Slow Missiles'.blvl)/4 + skill('Critical Strike'.blvl)/4 + skill('Penetrate'.blvl)/4) * par8,100)"																																																												1	0		rng		miss												xx																										40	20					Penetrate								1						0	8	0	0	1	1					1												20	min % chance pierce	3	% chance pierce per level	10	min % chance (old)	100	max % chance (old)							1	pierce synergy	40								8																																					500
Lightning Strike	34	ama	lightning strike	10	14												lightningstrike	lightningstrike	lightningstrike						par1																																																																			22					lightningstrike	lightningstrike	lightningstrike										1	8		h2h		spea										A1	A1	xx				1		1	1								1											40	20					Charged Strike								1						1	8	9	0	1										20+skill('Charged Strike'.blvl)*par6*3/4	radius	ln34+skill('Charged Strike'.blvl)*par7	hits					20	radius of jump to next target			5	Target hits	1	Target hits per level			1	radius synergy	1	target synergy	28	damage synergy	40								8	32														ltng	1	0	0	0	0	0	50	25	40	55	70	75	(skill('Jab'.blvl)+skill('Power Strike'.blvl)+skill('Impale'.blvl)+skill('Charged Strike'.blvl)+skill('Fend'.blvl))*par8/16									500
Lightning Fury	35	ama	lightning fury	4										lightningfury	0						42371				par3																																																																		11					lightningfury													1	8		rng		jave										TH	TH	xx																										40	20					Plague Javelin								1						1	7	20	1	1										ln12	num targets							2	lightning spells from target	1	extra spells/level	15	Target search radius									35	damage synergy	40								8	32														ltng	1	0	0	0	0	0	40	20	30	40	50	50	(skill('Jab'.blvl)+skill('Impale'.blvl)+skill('Charged Strike'.blvl)+skill('Lightning Strike'.blvl))*par8/16									500
Fire Bolt	36	sor	fire bolt											firebolt																																																															sorceress_cast_fire											fire_cast_1								firebolt													1	2		none												SC	SC	xx																	1						sorceress_cast_fire			1	40													1						1	7	5	0	1																																60	damage synergy	1								6															fire	20	10	20	30	40	60	40	10	20	30	45	60	(skill('Fire Ball'.blvl)+skill('Meteor'.blvl)+skill('Nova'.blvl)+skill('Thunder Storm'.blvl))*par8/16									500
Warmth	37	sor	warmth																																											warmth		manarecoverybonus	ln12+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl)+skill('Cold Mastery'.blvl))*par8																																																												1	0		none												SC	SC	xx																										1	40													1						0	8	0	0	1	1					1												30	increase in mana recovery	12	additional increase/level											2	recovery synergy	1								8															cold																						500
Charged Bolt	38	sor	charged bolt		17												chargedbolt	chargedbolt	chargedbolt																																																										sorceress_cast_lightning											light_cast_1				23					chargedbolt												1	1		none												SC	SC	xx																	1						sorceress_cast_lightning			1	40												10	1						1	5	24	4	1										"min(30,(par1+par2*(lvl-1)/2))"	# bolts							3	Bolts to send out	3	Additional bolts per 2 levels											60	damage synergy	1								6															ltng	12	6	9	12	15	18	18	6	9	12	15	18	(skill('Lightning'.blvl)+skill('Inferno'.blvl)+skill('Hydra'.blvl)+skill('Chain Lightning'.blvl))*par8/16									500
Ice Bolt	39	sor	ice bolt											icebolt																																																															sorceress_cast_cold											ice_cast_1								icebolt													1	5		none												SC	SC	xx																	1						sorceress_cast_cold			1	40													1						1	8	3	0	1																														5	freeze synergy	48	damage synergy	1								7															cold	6	6	12	18	24	30	12	6	12	18	24	30	(skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par8/16	150	35	35	35	(skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par7				500
Frozen Armor	40	sor	frozen armor		18																	frozenarmor		ln34+(skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12+(skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par2											damagedinmelee	2																																						sorceress_cast_cold				sorceress_frozenarmor							ice_cast_1	frozenarmor_hit																				1	0		none												SC	SC	xx																	1						sorceress_cast_cold	ice_cast_1		1	40																			1	6	28	-1	1	1									ln56*(100+((skill('Warmth'.blvl)+skill('Chilling Armor'.blvl))*par8))/100	freeze length							50	% AC base	10	% AC per level	3000	Duration	500	Duration per level	100	Freeze Frames	20	Freeze Frames per level	250	duration synergy	10	freeze synergy	1								8															cold	5	5	10	20	30	40	10	5	10	20	30	40	(skill('Warmth'.blvl)+skill('Chilling Armor'.blvl))*par8						1			500
Blaze	41	sor	blaze		23												blaze	blaze	blaze			blaze		dm12																																																					sorceress_cast_fire											fire_cast_2								blaze	firewall	firesmall	firemedium										1	3		none												SC	SC	xx																	1									1	40																			1	7	22	1	1																		50	Min Frames	500	Max Frames											80	damage synergy	1								3															fire	13	13	16	19	22	25	25	13	16	19	22	25	(skill('Enchant'.blvl)+skill('Fire Wall'.blvl)+skill('Shiver Armor'.blvl))*par8/16									500
Teleport	42	sor	teleport		27																																																																								sorceress_teleport											teleport																			1		1	0		none												SC	SC	xx																	1		1	2			sorceress_teleport	teleport		1	40																			1	8	12	-1	1	1																																	1								8																																					500
Ice Blast	43	sor	ice blast											iceblast																																																															sorceress_cast_cold											ice_cast_1								iceblast													1	6		none												SC	SC	xx																	1						sorceress_cast_cold			8	35					Ice Bolt								1						1	7	12	1	1																		75	Duration of freeze	5	additional duration/level									3	freeze synergy	44	damage synergy	8								7															cold	15	15	30	45	60	75	30	15	30	45	60	75	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par8/16	75	5	5	5	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par7				500
Lightning	44	sor	lightning											lightningbolt																																																															sorceress_cast_lightning											light_cast_1								lightningbolt													1	6		none												SC	SC	xx	12																1						sorceress_cast_lightning			8	35					Charged Bolt								1						1	7	16	1	1																		10	minimum damage	20	max damage	4	increase in dam/level (min & max)									55	damage synergy	8								6															ltng	4	0	0	0	0	0	40	20	30	40	50	60	(skill('Charged Bolt'.blvl)+skill('Inferno'.blvl)+skill('Hydra'.blvl)+skill('Chain Lightning'.blvl))*par8/16									500
Enchant	45	sor	enchant		25																	enchant		ln12		firemindam	enma	firemaxdam	exma	item_tohit_percent	toht																																														sorceress_enchant																																1	4		none												SC	SC	xx												1	1				1			1			sorceress_enchant			8	35																			1	8	25	1	1	1																	3600	duration	600	duration per level	33	missile pct							25	duration synergy	73	damage synergy	8	20	9						7															fire	15	15	30	45	60	80	30	15	30	45	60	80	(skill('Blaze'.blvl)+skill('Fire Wall'.blvl)+skill('Shiver Armor'.blvl))*par8/16									500
