Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
Berserker's	0		1	40		30				0	129	bar	0	2	2									1	cgrn	mele							rod	h2h				0	0	0
Berserker's	0		1	90		67				0	129	bar	0	2	2									1	cgrn	amul												0	0	0
																																						0	0	0
																																						0	0	0
Triumphant	0		1	3		2				0	132	mana-kill	0	1	1											mele	ring											0	0	0
Expansion																																								
Stout	100		1	1		1				4	101	ac		3	5											lcha												0	0	0
Stout	100		1	7		5				4	101	ac		6	9											lcha												0	0	0
Stout	100		1	12		9				4	101	ac		10	12											lcha												0	0	0
Burly	100		1	17		12				4	101	ac		13	15											lcha												0	0	0
Burly	100		1	22		16				4	101	ac		16	22											lcha												0	0	0
Burly	100		1	27		20				4	101	ac		23	30											lcha												0	0	0
Stalwart	100			32		24				4	101	ac		33	40											lcha												0	0	0
Stalwart	100			37		29				4	101	ac		44	50											lcha												0	0	0
Stalwart	100			42		34				4	101	ac		60	100											lcha												0	0	0
Stout	100		1	1		1				4	101	ac		2	3											mcha												0	0	0
Stout	100		1	14		10				4	101	ac		4	6											mcha												0	0	0
Stout	100		1	20		15				4	101	ac		8	12											mcha												0	0	0
Burly	100		1	26		19				4	101	ac		13	18											mcha												0	0	0
Burly	100		1	32		24				4	101	ac		20	30											mcha												0	0	0
Stalwart	100			38		30				4	101	ac		30	40											mcha												0	0	0
Stalwart	100			45		37				4	101	ac		45	60											mcha												0	0	0
Stout	100		1	1		1				4	101	ac		1	1											scha												0	0	0
Stout	100		1	21		15				4	101	ac		4	8											scha												0	0	0
Burly	100		1	36		28				4	101	ac		15	20											scha												0	0	0
Stalwart	100			48		40				4	101	ac		20	30											scha												0	0	0
Blanched	100		1	1		1				4	101	ac		5	8									1	whit	jewl												0	0	0
Eburin	100		1	16		12				4	101	ac		9	20									1	whit	jewl												0	0	0
Bone	100		1	32		24				4	101	ac		21	40									1	whit	jewl												0	0	0
Ivory	100			64		56				4	101	ac		41	64									1	whit	jewl												0	0	0
Sturdy	1		1	1		1				9	101	ac%		10	20											armo												0	0	0
Sturdy	1		1	4		3				9	101	ac%		21	30											armo												0	0	0
Strong	1		1	9		6				8	101	ac%		31	40											armo												0	0	0
Glorious	1		1	19		14				8	101	ac%		41	50											armo												0	0	0
Blessed	1		1	25		18				7	101	ac%		51	65											armo												0	0	0
Saintly	1		1	31		23				7	101	ac%		66	80									1	dgld	armo												0	0	0
Holy	1		1	36		27				6	101	ac%		81	100									1	dgld	armo												0	0	0
Godly	100			45		38				3	101	ac%		101	200									1	dgld	armo												0	0	0
Devious	1		1	7		5				5	102	red-mag		1	1											shld	circ	orb	wand	staf								0	0	0
Blank	1		1	14		10				4	102	red-mag		2	2											shld	circ	orb	wand	staf								0	0	0
Null	100		1	21		16				4	102	red-mag		3	5									1	dblu	shld	circ											0	0	0
Antimagic	100			28		21				4	102	red-mag		6	10									1	dblu	shld	circ											0	0	0
Red	100		1	4		3				4	103	dmg-min		1	2									1	dred	lcha												0	0	0
Red	100		1	16		12				4	103	dmg-min		3	3									1	dred	lcha												0	0	0
Sanguinary	100		1	28		21				4	103	dmg-min		4	4									1	dred	lcha												0	0	0
Sanguinary	100		1	40		32				4	103	dmg-min		5	6									1	dred	lcha												0	0	0
Bloody	100			52		46				4	103	dmg-min		7	8									1	dred	lcha												0	0	0
Red	100		1	11		8				4	103	dmg-min		1	2									1	dred	mcha												0	0	0
Sanguinary	100		1	33		25				4	103	dmg-min		3	3									1	dred	mcha												0	0	0
Bloody	100			55		47				4	103	dmg-min		4	4									1	dred	mcha												0	0	0
Red	100		1	24		16				4	103	dmg-min		1	1									1	dred	scha												0	0	0
Sanguinary	100		1	41		33				4	103	dmg-min		2	2									1	dred	scha												0	0	0
Bloody	100			58		50				4	103	dmg-min		3	3									1	dred	scha												0	0	0
Scarlet	100		1	8		6				4	103	dmg-min		1	4									1	dred	jewl												0	0	0
Crimson	100		1	38		30				4	103	dmg-min		5	8									1	dred	jewl												0	0	0
Jagged	100		1	3		2				4	104	dmg-max		1	2									1	blac	lcha												0	0	0
Jagged	100		1	10		7				4	104	dmg-max		3	4									1	blac	lcha												0	0	0
Jagged	100		1	17		12				4	104	dmg-max		5	6									1	blac	lcha												0	0	0
Forked	100		1	25		18				4	104	dmg-max		7	8									1	blac	lcha												0	0	0
Forked	100		1	32		24				4	104	dmg-max		9	10									1	blac	lcha												0	0	0
Serrated	100			39		31				4	104	dmg-max		11	12									1	blac	lcha												0	0	0
Serrated	100			47		39				4	104	dmg-max		13	14									1	blac	lcha												0	0	0
Jagged	100		1	10		7				4	104	dmg-max		1	1									1	blac	mcha												0	0	0
Jagged	100		1	20		15				4	104	dmg-max		2	2									1	blac	mcha												0	0	0
Forked	100		1	30		22				4	104	dmg-max		3	3									1	blac	mcha												0	0	0
Forked	100		1	40		32				4	104	dmg-max		4	5									1	blac	mcha												0	0	0
Serrated	100			50		42				4	104	dmg-max		6	7									1	blac	mcha												0	0	0
Jagged	100		1	23		17				4	104	dmg-max		1	1									1	blac	scha												0	0	0
Forked	100		1	38		30				4	104	dmg-max		2	2									1	blac	scha												0	0	0
Serrated	100			53		45				4	104	dmg-max		3	3									1	blac	scha												0	0	0
Carbuncle	100		1	12		9				4	104	dmg-max		1	5									1	dred	jewl												0	0	0
Carmine	100		1	35		27				4	104	dmg-max		6	9									1	dred	jewl												0	0	0
Vermillion	100			58		50				4	104	dmg-max		11	15									1	dred	jewl												0	0	0
Jagged	1		1	1		1				9	105	dmg%		10	20											weap	circ						staf	wand	orb			0	0	0
Deadly	1		1	5		3				9	105	dmg%		21	30											weap	circ						staf	wand	orb			0	0	0
Vicious	1		1	8		6				8	105	dmg%		31	40											weap							staf	wand	orb			0	0	0
Brutal	1		1	14		10				8	105	dmg%		41	50											weap							staf	wand	orb			0	0	0
Massive	1		1	20		15				7	105	dmg%		51	65									1	dgld	weap							staf	wand	orb			0	0	0
Savage	1		1	26		19				7	105	dmg%		66	80									1	dgld	weap							staf	wand	orb			0	0	0
Merciless	1		1	32		24				6	105	dmg%		81	100									1	dgld	weap							staf	wand	orb			0	0	0
Ferocious	100		1	41		33				6	105	dmg%		101	200									1	blac	weap							staf	wand	orb			0	0	0
Cruel	100			51		43				5	105	dmg%		201	300									1	blac	weap							staf	wand	orb			0	0	0
Cinnabar	100		1	1		1				4	105	dmg%		5	10									1	dred	jewl												0	0	0
Rusty	100		1	13		9				4	105	dmg%		11	20									1	dred	jewl												0	0	0
Realgar	100		1	45		37				4	105	dmg%		21	30									1	dred	jewl												0	0	0
Ruby	100			66		58				4	105	dmg%		31	40									1	dred	jewl												0	0	0
Vulpine	1		1	9		6				3	107	dmg-to-mana		7	12									1	cblu	shld	amul	orb	staf									0	0	0
Dun	100		1	7		5				3	107	dmg-to-mana		7	12											jewl												0	0	0
Tireless	1		1	6		4				4	108	regen-stam		25	25											boot												0	0	0
Tireless	100		1	14		10				4	108	regen-stam		50	50											boot												0	0	0
Brown	100		1	39		31				4	108	regen-stam		10	15											jewl												0	0	0
Rugged	100		1	1		1				4	109	stam		12	24											lcha												0	0	0
Rugged	100		1	7		5				4	109	stam		25	36											lcha												0	0	0
Rugged	100		1	21		15				4	109	stam		37	50											lcha												0	0	0
Rugged	100		1	1						4	109	stam		8	16											mcha														
Rugged	100		1	7		5				4	109	stam		17	25											mcha												0	0	0
Rugged	100		1	21		15				4	109	stam		26	32											mcha												0	0	0
Rugged	100		1	1						4	109	stam		4	8											scha														
Rugged	100		1	21		15				4	109	stam		9	16											scha												0	0	0
Rugged	1		1	1		1				4	109	stam		5	10											boot	glov	belt	ring	amul	circ							0	0	0
Rugged	1		1	8		6				4	109	stam		11	20											boot	belt											0	0	0
Rugged	1		1	8		6				4	109	stam		11	20											ring	amul	circ										0	0	0
Vigorous	100		1	16		12				4	109	stam		21	30											boot	belt											0	0	0
Chestnut	100		1	1		1				4	109	stam		10	15											jewl												0	0	0
Maroon	100		1	17		12				4	109	stam		16	25											jewl												0	0	0
Bronze	100		1	1		1				4	110	att		6	12											lcha												0	0	0
Bronze	100		1	7		5				4	110	att		13	27											lcha												0	0	0
Bronze	100		1	13		9				4	110	att		28	42											lcha												0	0	0
Iron	100		1	19		14				4	110	att		43	57											lcha												0	0	0
Iron	100		1	25		18				4	110	att		58	72											lcha												0	0	0
Iron	100		1	31		23				4	110	att		73	87											lcha												0	0	0
Steel	100			37		29				4	110	att		88	102											lcha												0	0	0
Steel	100			43		35				4	110	att		103	117											lcha												0	0	0
Steel	100			49		41				4	110	att		118	132											lcha												0	0	0
Bronze	100		1	1		1				4	110	att		4	8											mcha												0	0	0
Bronze	100		1	7		5				4	110	att		6	12											mcha												0	0	0
Bronze	100		1	16		12				4	110	att		13	25											mcha												0	0	0
Iron	100		1	25		18				4	110	att		26	38											mcha												0	0	0
Iron	100		1	34		26				4	110	att		39	51											mcha												0	0	0
Steel	100			43		36				4	110	att		52	64											mcha												0	0	0
Steel	100			52		44				4	110	att		65	77											mcha												0	0	0
Bronze	100		1	1		1				4	110	att		2	4											scha												0	0	0
Bronze	100		1	21		15				4	110	att		6	12											scha												0	0	0
Iron	100		1	39		31				4	110	att		13	24											scha												0	0	0
Steel	100			57		49				4	110	att		25	36											scha												0	0	0
Bronze	1		1	1		1				8	110	att		10	20											weap	ring	glov	amul	circ			staf	wand	orb			0	0	0
Iron	1		1	4		3				8	110	att		21	40											weap	ring	circ					staf	wand	orb			0	0	0
Steel	1		1	8		6				7	110	att		41	60											weap	ring	circ					staf	wand	orb			0	0	0
Silver	1		1	12		9				7	110	att		61	80											weap	ring	circ					staf	wand	orb			0	0	0
Gold	1		1	17		12				6	110	att		81	100									1	lgld	weap	ring	circ					staf	wand	orb			0	0	0
Platinum	1		1	22		16				6	110	att		101	120									1	lgld	weap	ring	circ					staf	wand	orb			0	0	0
Meteoric	1		1	27		20				5	110	att		121	150									1	lgld	weap							staf	wand	orb			0	0	0
Strange	100		1	32		24				5	110	att		151	300									1	lgld	weap							staf	wand	orb			0	0	0
Weird	100			37		27				4	110	att		301	450									1	lgld	weap							staf	wand	orb			0	0	0
Nickel	100		1	1		1				4	110	att		10	20											jewl												0	0	0
Tin	100		1	8		6				4	110	att		21	40											jewl												0	0	0
Silver	100		1	25		18				4	110	att		41	60											jewl												0	0	0
Argent	100			44		36				4	110	att		61	100											jewl												0	0	0
Fine	100		1	15		11				4	111	att		10	20	dmg-max		1	3							lcha												0	0	0
Fine	100		1	22		16				4	111	att		21	48	dmg-max		4	6							lcha												0	0	0
Sharp	100		1	29		21				4	111	att		49	76	dmg-max		7	10							lcha												0	0	0
Fine	100		1	19		14				4	111	att		10	20	dmg-max		1	3							mcha												0	0	0
Sharp	100		1	28		21				4	111	att		21	48	dmg-max		4	6							mcha												0	0	0
Fine	100			28		21				4	111	att		10	20	dmg-max		1	3							scha												0	0	0
Sharp	1		1	5		3				9	111	att		10	20	dmg%		10	20							weap							staf	wand	orb			0	0	0
Fine	1		1	12		9				9	111	att		21	40	dmg%		21	30							weap							staf	wand	orb			0	0	0
Warrior's	1		1	19		13				8	111	att		41	60	dmg%		31	40							weap							staf	wand	orb			0	0	0
Soldier's	1		1	27		19				8	111	att		61	80	dmg%		41	50							weap							staf	wand	orb			0	0	0
Knight's	1		1	38		30				7	111	att		81	100	dmg%		51	65					1	dgld	weap							staf	wand	orb			0	0	0
Lord's	1		1	47		39				6	111	att		101	120	dmg%		66	80					1	dgld	weap							staf	wand	orb			0	0	0
King's	1		1	56		48				5	111	att		121	150	dmg%		81	100					1	dgld	weap							staf	wand	orb			0	0	0
Master's	100		1	56		48				5	111	att		151	250	dmg%		101	150					1	dgld	weap							staf	wand	orb			0	0	0
Grandmaster's	100			69		61				4	111	att		251	300	dmg%		151	200					1	dgld	weap							staf	wand	orb			0	0	0
Glimmering	1		1	1		1				1	112	light		1	1											armo	wand	staf	ring	amul	orb							0	0	0
Glowing	1		1	6		4				1	112	light		2	2									1	lyel	armo	wand	staf	ring	amul	orb							0	0	0
Bright	100		1	1		1				1	112	light		1	1	att		10	10							jewl												0	0	0
Screaming	100		1	10		7				3	113	howl		32	32									1	oran	weap							miss	swor	axe	pole	spea	0	0	0
Howling	1		1	16		12				3	113	howl		64	64									1	oran	weap							miss	swor	axe	pole	spea	0	0	0
Wailing	100		1	20		13				3	113	howl		128	128									1	oran	weap							miss	swor	axe	pole	spea	0	0	0
Screaming	100		1	10		7				4	113	howl		16	16									1	oran	miss												0	0	0
Howling	100		1	16		12				4	113	howl		24	24									1	oran	miss												0	0	0
Wailing	100			24		18				4	113	howl		32	32									1	oran	miss												0	0	0
Lucky	100		1	21						4	114	mag%		1	4											lcha												0	0	0
Lucky	100			38						4	114	mag%		5	7											lcha												0	0	0
Lucky	100			55						4	114	mag%		8	12											lcha												0	0	0
Lucky	100		1	34						4	114	mag%		1	1											mcha												0	0	0
Lucky	100			53						4	114	mag%		2	3											mcha												0	0	0
Lucky	100			51						4	114	mag%		4	6											mcha												0	0	0
Felicitous	100		1	5		3				4	114	mag%		5	10											ring	amul	circ										0	0	0
Fortuitous	1			12		8				4	114	mag%		11	15											ring	amul	circ										0	0	0
Emerald	100		1	16		12				4	114	mag%		3	7											jewl												0	0	0
Lizard's	100		1	1		1				4	115	mana		3	7											lcha												0	0	0
Lizard's	100		1	7		5				4	115	mana		8	13											lcha												0	0	0
Lizard's	100		1	13		9				4	115	mana		14	20											lcha												0	0	0
Snake's	100		1	19		14				4	115	mana		21	26											lcha												0	0	0
Snake's	100		1	25		18				4	115	mana		27	33											lcha												0	0	0
Snake's	100		1	31		23				4	115	mana		34	39											lcha												0	0	0
Serpent's	100		1	37		29				4	115	mana		40	46											lcha												0	0	0
Serpent's	100		1	43		35				4	115	mana		47	52											lcha												0	0	0
Serpent's	100		1	49		41				4	115	mana		53	59											lcha												0	0	0
Lizard's	100		1	1		1				4	115	mana		2	4											mcha												0	0	0
Lizard's	100		1	9		6				4	115	mana		5	7											mcha												0	0	0
Lizard's	100		1	17		12				4	115	mana		8	12											mcha												0	0	0
Snake's	100		1	25		18				4	115	mana		13	18											mcha												0	0	0
Snake's	100		1	33		25				4	115	mana		19	23											mcha												0	0	0
Serpent's	100		1	41		33				4	115	mana		24	29											mcha												0	0	0
Serpent's	100		1	49		41				4	115	mana		30	34											mcha												0	0	0
Lizard's	100		1	16		12				4	115	mana		1	2											scha												0	0	0
Lizard's	100		1	16		12				4	115	mana		3	7											scha												0	0	0
Snake's	100		1	32		24				4	115	mana		8	12											scha												0	0	0
Serpent's	100			48		40				4	115	mana		13	17											scha												0	0	0
Lizard's	1		1	3		2				4	115	mana		3	5											armo	ring	amul	rod	orb			boot	glov				0	0	0
Snake's	1		1	6		4				4	115	mana		5	10											shld	rod	belt	ring	amul	circ							0	0	0
Serpent's	1		1	14		10				3	115	mana		11	20											shld	rod	belt	ring	amul	circ							0	0	0
Serpent's	1		1	37		27				2	115	mana		11	20											tors	boot	glov	weap	orb			rod					0	0	0
Drake's	1		1	20		15				2	115	mana		21	30									1	cblu	rod	ring	amul	orb	circ								0	0	0
Dragon's	1		1	24		18				2	115	mana		31	40									1	cblu	rod	ring	amul	orb	circ								0	0	0
Dragon's	1		1	52		39				2	115	mana		31	40									1	cblu	tors	boot	glov										0	0	0
Wyrm's	1		1	30		22				2	115	mana		41	60									1	cblu	rod	ring	amul	orb	circ								0	0	0
Great Wyrm's	100		1	37		29				2	115	mana		61	90									1	cblu	rod	ring	amul	orb	circ								0	0	0
Bahamut's	100			45		37				2	115	mana		91	120									1	cblu	rod	ring	amul	orb	circ								0	0	0
Zircon	100		1	3		2				2	115	mana		5	10									1	cblu	jewl												0	0	0
Jacinth	100		1	17		12				2	115	mana		11	15									1	cblu	jewl												0	0	0
Turquoise	100			29		21				2	115	mana		16	20									1	cblu	jewl														
Shimmering	100			8	13	6				1	116	res-all		3	6									1	lpur	lcha												0	1280	500
Shimmering	100			14	34	10				1	116	res-all		8	12									1	lpur	lcha												0	1280	1500
Shimmering	100			35		27				1	116	res-all		13	15									1	lpur	lcha												0	1280	5000
Shimmering	100			17	33	12				1	116	res-all		3	5									1	lpur	mcha												0	1280	1500
Shimmering	100			34		26				1	116	res-all		6	8									1	lpur	mcha												0	1280	5000
Shimmering	100			33		25				1	116	res-all		3	5									1	lpur	scha												0	1280	10000
Shimmering	100		1	6		4				5	116	res-all		3	7									1	lpur	shld												0	1280	500
Rainbow	100		1	18		13				5	116	res-all		8	11									1	lpur	shld												0	1280	2000
Scintillating	100		1	28		21				5	116	res-all		12	15									1	lpur	shld												0	1280	4000
Prismatic	1		1	39		31				4	116	res-all		16	20									1	lpur	shld												0	1280	8000
Chromatic	100			50		42				4	116	res-all		21	30									1	lpur	shld												0	1280	16000
Shimmering	100		1	8		6				5	116	res-all		3	7									1	lpur	amul	circ											0	1280	3000
Rainbow	100		1	21		15				5	116	res-all		8	11									1	lpur	amul	circ											0	1280	6000
Scintillating	100		1	34		25				5	116	res-all		12	15									1	lpur	amul	circ											0	1280	12000
Prismatic	1		1	42		31				4	116	res-all		16	20									1	lpur	amul	circ											0	1280	24000
Chromatic	100			55		41				3	116	res-all		21	30									1	lpur	amul	circ											0	1280	32000
Shimmering	100		1	45		37				3	116	res-all		3	7									1	lpur	ring												0	1280	4000
Rainbow	100		1	56		48				2	116	res-all		8	11									1	lpur	ring												0	1280	8000
Scintillating	100			67		59				2	116	res-all		12	15									1	lpur	ring												0	1280	16000
Shimmering	100		1	16		12				1	116	res-all		5	10									1	lpur	jewl												0	1280	3000
Scintillating	100			34		26				1	116	res-all		11	15									1	lpur	jewl												0	1280	8000
Azure	100		1	1		1				2	117	res-cold		7	15											lcha												0	0	0
Lapis	100		1	10		7				2	117	res-cold		16	20											lcha												0	0	0
Cobalt	100		1	20		15				2	117	res-cold		21	25									1	lblu	lcha												0	0	0
Sapphire	100			30		22				2	117	res-cold		26	30									1	lblu	lcha												0	0	0
Azure	100		1	1		1				2	117	res-cold		4	7											mcha												0	0	0
Lapis	100		1	16		12				2	117	res-cold		8	10											mcha												0	0	0
Cobalt	100		1	25		18				2	117	res-cold		11	12									1	lblu	mcha												0	0	0
Sapphire	100			35		27				2	117	res-cold		13	15									1	lblu	mcha												0	0	0
Azure	100		1	1		1				2	117	res-cold		3	5											scha												0	0	0
Lapis	100		1	14		10				2	117	res-cold		6	7											scha												0	0	0
Cobalt	100		1	27		20				2	117	res-cold		8	9									1	lblu	scha												0	0	0
Sapphire	100			40		32				2	117	res-cold		10	11									1	lblu	scha												0	0	0
Azure	1		1	5		3				2	117	res-cold		5	10											armo	weap	ring	amul	orb	circ							0	0	0
Lapis	1		1	12		9				4	117	res-cold		11	20											armo	ring	amul	orb	circ								0	0	0
Lapis	1		1	35		26				2	117	res-cold		11	20											weap							orb					0	0	0
Cobalt	1		1	18		13				3	117	res-cold		21	30											armo	ring	amul	orb	circ								0	0	0
Cobalt	1		1	55		41				2	117	res-cold		21	30											weap							orb					0	0	0
Sapphire	1		1	25		18				3	117	res-cold		31	40									1	lblu	rod	boot	amul	orb	circ								0	0	0
Lapis Lazuli	100		1	2		1				4	117	res-cold		5	15									1	lblu	jewl												0	0	0
