ItemType	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Charm	Gem	Beltable	MaxSock1	MaxSock25	MaxSock40	TreasureClass	Rarity	StaffMods	CostFormula	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
Spear	spea	mele		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	4	6	8	0	3		0		0							weap	0
Polearm	pole	mele		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	4	6	8	0	3		0		0							weap	0
Crossbow	xbow	miss		1	1	rarm	larm	xboq		0	0	0	0		1	0	0	0	0	3	4	6	0	3		0		0							weap	0
Mace	mace	blun		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	3	4	6	0	3		0		0							weap	0
Helm	helm	armo		1	1	head	head			0	0	0	0		1	0	0	0	0	3	3	4	0	3		1		0							armo	0
Missile Potion	tpot	thro		0	1	rarm	larm			1	1	1	1			1	0	0	0	0	0	0	0	3		0		0							misc	0
Quest	ques			0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Body Part	body	misc		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		2		0							misc	0
Key	key	misc		0	0					0	0	0	1			1	0	0	0	0	0	0	0	3		0		0							misc	0
Throwing Knife	tkni	comb	knif	1	1	rarm	larm			1	1	1	1		1	0	0	0	0	2	3	4	0	3		0		0							misc	0
Throwing Axe	taxe	comb	axe	1	1	rarm	larm			1	1	1	1		1	0	0	0	0	2	3	4	0	3		0		0							misc	0
Javelin	jave	comb	spea	1	1	rarm	larm			1	1	1	1		1	0	0	0	0	2	3	4	0	3		0		0							misc	0
Weapon	weap			0	0					0	0	0	0		1	0	0	0	0	0	0	0	1	3		0		0								0
Melee Weapon	mele	weap		0	0					0	0	0	0		1	0	0	0	0	0	0	0	1	3		0		0								0
Missile Weapon	miss	weap		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Thrown Weapon	thro	weap		0	0					1	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Combo Weapon	comb	mele	thro	0	0					1	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Any Armor	armo			0	0					0	0	0	0		1	0	0	0	0	0	0	0	1	3		0		0								0
Any Shield	shld	armo	seco	0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Miscellaneous	misc			0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Socket Filler	sock	misc		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Second Hand	seco			0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Staves And Rods	rod	blun		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Missile	misl	misc		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Blunt	blun	mele		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Expansion																																				0
Jewel	jewl	sock		0	0					0	0	0	0	1	1	0	0	1	0	0	0	0	0	3		0		6	invjw1	invjw2	invjw3	invjw4	invjw5	invjw6	misc	0
Class Specific	clas			0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Amazon Item	amaz	clas		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	1		0	ama	0								0
Barbarian Item	barb	clas		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	1		0	bar	0								0
Necromancer Item	necr	clas		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	1		0	nec	0								0
Paladin Item	pala	clas		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	1		0	pal	0								0
Sorceress Item	sorc	clas		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	1		0	sor	0								0
Assassin Item	assn	clas		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	2		0	ass	0								0
Druid Item	drui	clas		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	1		0	dru	0								0
Hand to Hand	h2h	mele	assn	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	2	3	3	0	2	ass	0	ass	0							weap	0
Orb	orb	staf	sorc	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	2	3	3	0	1	sor	0	sor	0							weap	0
Voodoo Heads	head	shld	necr	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	2	3	3	0	1	nec	0	nec	0							armo	0
Auric Shields	ashd	shld	pala	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	3	4	4	0	1	pal	0	pal	0							armo	0
Primal Helm	phlm	helm	barb	1	1	head	head			0	0	0	0		1	0	0	0	0	3	3	3	0	1	bar	0	bar	0							armo	0
Pelt	pelt	helm	drui	1	1	head	head			0	0	0	0		1	0	0	0	0	2	3	4	0	1	dru	0	dru	0							armo	0
Cloak	cloa	tors	assn	1	1	tors	tors			0	0	0	0		1	0	0	0	0	0	0	0	0	1	ass	0	ass	0							armo	0
Rune	rune	sock		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Circlet	circ	helm		1	1	head	head			0	0	0	0		1	0	0	0	0	1	2	3	0	3		1		0							armo	0
Healing Potion	hpot	poti		0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Mana Potion	mpot	poti		0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Rejuv Potion	rpot	hpot	mpot	0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Stamina Potion	spot	poti		0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Antidote Potion	apot	poti		0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Thawing Potion	wpot	poti		0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Small Charm	scha	char		0	0					0	0	0	0	1	1	0	1	0	0	1	1	1	0	3		0		3	invch1	invch4	invch7				misc	0
Medium Charm	mcha	char		0	0					0	0	0	0	1	1	0	1	0	0	1	2	2	0	3		0		3	invch2	invch5	invch8				misc	0
Large Charm	lcha	char		0	0					0	0	0	0	1	1	0	1	0	0	2	3	3	0	3		0		3	invch3	invch6	invch9				misc	0
Amazon Bow	abow	bow	amaz	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	0	0	3	4	5	1	1		0	ama	0							weap	0
Amazon Spear	aspe	spea	amaz	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	3	4	6	0	1		0	ama	0							weap	0
Amazon Javelin	ajav	jave	amaz	1	1	rarm	larm			1	1	1	1		1	0	0	0	0	0	0	0	0	1		0	ama	0							misc	0
Hand to Hand 2	h2h2	h2h		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	2	3	3	0	2	ass	0	ass	0							weap	0
Magic Bow Quiv	mboq	bowq		0	1	rarm	larm		bow	0	1	0	0	1	1	0	0	0	0	0	0	0	0	3		0		0							misc	0
Magic Xbow Quiv	mxbq	xboq		0	1	rarm	larm		xbow	0	1	0	0	1	1	0	0	0	0	0	0	0	0	3		0		0							misc	0
Chipped Gem	gem0	gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Flawed Gem	gem1	gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Standard Gem	gem2	gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Flawless Gem	gem3	gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Perfect Gem	gem4	gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Amethyst	gema	gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Diamond	gemd	gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Emerald	geme	gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Ruby	gemr	gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Sapphire	gems	gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Topaz	gemt	gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Skull	gemz	gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Real Perfect Gem	gem5	gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Obsidian	gemk	gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Odd Charm	devc	lcha		0	0					0	0	0	0	1		0	1	0	0	0	0	0	0	3		0		0							misc	0
Recipe Scroll	scrl			0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Bow Quiver	arrm	bowq		1	1	rarm	larm		bow	0	1	1	1		1	0	0	0	0	1	2	3	0	3		0		0							misc	0
Crossbow Quiver	boqm	xboq		1	1	rarm	larm		xbow	0	1	1	1		1	0	0	0	0	1	2	3	0	3		0		0							misc	0
Heart	hart	body		0	0					0	0	0	0			1	1	0	0	0	0	0	0	3		0		0							misc	0
Brain	bran	body		0	0					0	0	0	0			1	1	0	0	0	0	0	0	3		0		0							misc	0
Jawbone	jawb	body		0	0					0	0	0	0			1	1	0	0	0	0	0	0	3		0		0							misc	0
Eye	eyes	body		0	0					0	0	0	0			1	1	0	0	0	0	0	0	3		0		0							misc	0
Horn	horn	body		0	0					0	0	0	0			1	1	0	0	0	0	0	0	3		0		0							misc	0
Tail	tail	body		0	0					0	0	0	0			1	1	0	0	0	0	0	0	3		0		0							misc	0
Flag	flag	body		0	0					0	0	0	0			1	1	0	0	0	0	0	0	3		0		0							misc	0
Fang	fang	body		0	0					0	0	0	0			1	1	0	0	0	0	0	0	3		0		0							misc	0
Quill	quil	body		0	0					0	0	0	0			1	1	0	0	0	0	0	0	3		0		0							misc	0
Soul	soul	body		0	0					0	0	0	0			1	1	0	0	0	0	0	0	3		0		0							misc	0
Scalp	sclp	body		0	0					0	0	0	0			1	1	0	0	0	0	0	0	3		0		0							misc	0
Spleen	spln	body		0	0					0	0	0	0			1	1	0	0	0	0	0	0	3		0		0							misc	0
Sorcerer's Band	srin	sorc	ring	0	1	rrin	lrin			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	sor	0	sor	6	invrin1	invrin2	invrin3	invrin4	invrin5	invrin6	misc	0
Barbaric Knuckle	brin	barb	ring	0	1	rrin	lrin			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	bar	0	bar	6	invrin1	invrin2	invrin3	invrin4	invrin5	invrin6	misc	0
Necromancer's Stone	nrin	necr	ring	0	1	rrin	lrin			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	nec	0	nec	6	invrin1	invrin2	invrin3	invrin4	invrin5	invrin6	misc	0
Paladic Halo	prin	pala	ring	0	1	rrin	lrin			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	pal	0	pal	6	invrin1	invrin2	invrin3	invrin4	invrin5	invrin6	misc	0
Druid's Seal	drin	drui	ring	0	1	rrin	lrin			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	dru	0	dru	6	invrin1	invrin2	invrin3	invrin4	invrin5	invrin6	misc	0
Amazonian Loop	zrin	amaz	ring	0	1	rrin	lrin			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	ama	0	ama	6	invrin1	invrin2	invrin3	invrin4	invrin5	invrin6	misc	0
Assassin's Jewel	arin	assn	ring	0	1	rrin	lrin			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	ass	0	ass	6	invrin1	invrin2	invrin3	invrin4	invrin5	invrin6	misc	0
Sorcerer's Talisman	samu	sorc	amul	0	1	neck	neck			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	sor	0	sor	6	invamu1	invamu2	invamu3	invamu4	invamu5	invamu6	misc	0
Primal Charm	bamu	barb	amul	0	1	neck	neck			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	bar	0	bar	6	invamu1	invamu2	invamu3	invamu4	invamu5	invamu6	misc	0
Death's Locket	namu	necr	amul	0	1	neck	neck			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	nec	0	nec	6	invamu1	invamu2	invamu3	invamu4	invamu5	invamu6	misc	0
Holy Pendant	pamu	pala	amul	0	1	neck	neck			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	pal	0	pal	6	invamu1	invamu2	invamu3	invamu4	invamu5	invamu6	misc	0
Druidic Necklace	damu	drui	amul	0	1	neck	neck			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	dru	0	dru	6	invamu1	invamu2	invamu3	invamu4	invamu5	invamu6	misc	0
Amazonian Pin	zamu	amaz	amul	0	1	neck	neck			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	ama	0	ama	6	invamu1	invamu2	invamu3	invamu4	invamu5	invamu6	misc	0
Assassin's Choker	aamu	assn	amul	0	1	neck	neck			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	ass	0	ass	6	invamu1	invamu2	invamu3	invamu4	invamu5	invamu6	misc	0
Sorceress Mana Blade	mana	swor	sorc	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	2	3	4	0	1	sor	0	sor	0							weap	0
Paladin Sword	bedg	swor	pala	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	3	4	4	0	1	pal	0	pal	0							weap	0
Necromancer Dagger	ndgr	knif	necr	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	2	3	3	0	1	nec	0	nec	0							weap	0
Barbarian Javs	bjav	jave	barb	1	1	rarm	larm			1	1	1	1		1	0	0	0	0	2	3	4	0	3	bar	0	bar	0							misc	0
Assassin Sword	asns	h2h	assn	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	4	5	6	0	2	ass	0	ass	0							weap	0
Druid Club	dclb	club	drui	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	3	3	3	0	3	dru	0	dru	0							weap	0
Amazon Bow	pbow	bow	amaz	1	1	rarm	larm	bowq		0	0	0	0		1	0	0	0	0	3	4	6	1	1	ama	0	ama	0							weap	0
Necromancer Polearm	npol	pole	necr	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	5	6	7	0	3	nec	0	nec	0							weap	0
Necromancer Scythe	nkni	pole	necr	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	7	8	0	3	nec	0	nec	0							weap	0
Quest2 (Dragon Stones)	quez			0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Sorceress Gloves	sglv	glov	sorc	1	1	glov	glov			0	0	0	0		1	0	0	0	0	2	2	3	0	3	sor	1	sor	0							armo	0
Amazon Belt	zblt	belt	amaz	1	1	belt	belt			0	0	0	0		1	0	0	0	0	2	2	2	0	3	ama	1	ama	0							armo	0
Assassin Boots	asbt	boot	assn	1	1	feet	feet			0	0	0	0		1	0	0	0	0	2	2	3	0	3	ass	1	ass	0							armo	0
Amazon 1h Spear	a1sp	spea	amaz	1	1	rarm	larm			1	0	0	0		1	0	0	0	0	1	2	3	0	1		0	ama	0							misc	0
Necromancer Wand	nwnd	wand	necr	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	2	3	3	0	1	nec	0	nec	0							weap	0
Barbarian Axe	baxe	axe	barb	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	4	5	6	0	3	bar	0	bar	0							weap	0
Sorceress Dagger	sdgr	knif	sorc	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	4	5	6	0	3	sor	0	sor	0							weap	0
Paladin 2h Sword	p2hs	swor	pala	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	3	4	6	0	3	pal	0	pal	0							weap	0
Assassin Naginata	asnp	spea	assn	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	4	6	8	0	3	ass	0	ass	0							weap	0
Druid Hammer	dhmr	hamm	drui	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	3	4	6	0	3	dru	0	dru	0							weap	0
Helm	hireh	armo		0	1	head	head			0	0	0	0		1	0	0	0	0	3	3	4	0	3		1		0							armo	0
Armor	htor	armo		0	1	tors	tors			0	0	0	0		1	0	0	0	0	3	4	6	0	3		1		0							armo	0
Spear	hspe	mele		0	1	rarm	larm			0	0	0	0		1	0	0	0	0	4	6	8	0	3		0		0							weap	0
Sword	hswo	mele		0	1	rarm	larm			0	0	0	0		1	0	0	0	0	3	4	6	0	3		0		0							weap	0
