name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Studded Leather 	0	0	4	1	29	39	0	0	27	0	32	0	8	0	2385	11270	stu	stu			stu	stu	stu	xtu	ytu	0	1	2	3	1	4	2	flpstu	invstu			1	0	0	1	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255			5	8	0	xtu	ytu	0	0	1
Ring Mail	0	0	4	1	40	52	0	5	36	0	26	0	11	0	4428	20177	rng	rng			rng	rng	rng	xng	yng	0	1	2	3	1	5	2	flprng	invrng			0	0	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255			1	1	0	xng	yng	0	0	1
Scale Mail	0	0	4	1	53	67	0	10	44	0	36	0	13	0	6508	30151	scl	scl			scl	scl	scl	xcl	ycl	0	1	2	3	1	6	2	flpscl	invscl			1	1	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xcl	ycl	0	0	1
Chain Mail	0	0	4	1	68	84	0	5	48	0	45	0	15	0	9360	45100	chn	chn			chn	chn	chn	xhn	yhn	0	1	2	3	1	5	2	flpchn	invchn			1	1	1	1	2	2	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xhn	yhn	0	0	1
Breast Plate	0	0	4	1	85	103	1	0	30	0	50	0	18	0	10078	56851	brs	brs			brs	brs	brs	xrs	yrs	0	1	2	3	1	4	2	flpbrs	invbrs			0	0	2	0	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255			1	1	0	xrs	yrs	0	0	1
Splint Mail	0	0	4	1	104	126	0	5	51	0	30	0	20	0	15489	89945	spl	spl			spl	spl	spl	xpl	ypl	0	1	2	3	1	5	2	flpspl	invspl			1	1	2	1	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255			1	1	0	xpl	ypl	0	0	1
Plate Mail	0	0	4	1	152	178	0	10	65	0	60	0	24	0	22335	148510	plt	plt			plt	plt	plt	xlt	ylt	0	1	2	3	1	6	2	flpplt	invplt			2	2	2	2	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255			1	1	0	xlt	ylt	0	0	1
Field Plate	0	0	4	1	179	207	2	5	55	0	48	0	28	0	23841	183387	fld	fld			fld	fld	fld	xld	yld	0	1	2	3	1	5	2	flpfld	invfld			1	1	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255			1	1	0	xld	yld	0	0	1
Gothic Plate	0	0	4	1	208	238	0	5	70	0	55	0	32	0	34646	295668	gth	gth			gth	gth	gth	xth	yth	0	1	2	3	1	5	2	flpgth	invgth			2	2	1	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255			1	1	0	xth	yth	0	0	1
Full Plate Mail	0	0	4	1	272	306	2	10	80	0	70	0	37	0	47192	457526	ful	ful			ful	ful	ful	xul	yul	0	1	2	3	1	6	2	flpful	invful	invfulu	invfulu	2	2	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255			1	1	0	xul	yul	0	0	1
Ancient Armor	0	0	4	1	344	382	5	5	100	0	60	0	40	0	73864	761140	aar	aar			aar	aar	aar	xar	yar	0	1	2	3	1	5	2	flpaar	invaar	invaaru	invaaru	1	2	2	2	2	0	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255			1	1	0	xar	yar	0	0	1
Light Plate	0	0	4	1	127	151	1	0	41	0	60	0	35	0	28327	267861	ltp	ltp			ltp	ltp	ltp	xtp	ytp	0	1	2	3	1	4	2	flpltp	invltp			2	0	1	1	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255			1	1	0	xtp	ytp	0	0	1
Buckler	0	0	2	1	4	6	0	0	15	0	12	0	1	0	68	3017	buc	buc			buc	buc	buc	xuc	yuc	0	7	2	2	1	2	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	1	3			0	3					255	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xuc	yuc	0	0	1
Small Shield	0	0	3	1	8	12	0	0	22	5	16	0	5	0	410	5512	sml	sml			buc	buc	sml	xml	yml	0	7	2	2	1	2	2	flpsml	invsml	invsmlu	invsmlu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	2	3			0	3	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xml	yml	0	0	1
Large Shield	0	0	4	1	12	18	0	5	25	12	24	0	11	0	1214	11338	lrg	lrg			lrg	buc	lrg	xrg	yrg	0	7	2	3	1	3	2	flplrg	invlrg	invlrgu	invlrgu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	2	4			0	3	1	2	1	2	20					255					255	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xrg	yrg	0	0	1
Kite Shield	0	0	4	1	20	30	0	0	47	8	30	0	15	0	2129	17983	kit	kit			kit	buc	kit	xit	yit	0	7	2	3	1	4	2	flpkit	invkit	invkitu	invkitu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	2	5			0	3					255					255					255					255					255					255	1	2	1	2	20					255					255					255	1	2	1	2	20					255					255					255					255					255					255			5	1	0	xit	yit	0	0	1
Tower Shield	0	0	4	1	28	42	1	10	75	24	60	0	22	0	4249	36869	tow	tow			tow	buc	tow	xow	yow	0	7	2	3	1	4	2	flptow	invtow	invtowu	invtowu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	1	5			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255			5	8	0	xow	yow	0	0	1
Gothic Shield	0	0	4	1	36	54	0	5	60	16	40	0	30	0	8000	77500	gts	gts			kit	buc	gts	xts	yts	0	7	2	4	1	4	2	flpgts	invgts	invgtsu	invgtsu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	2	6			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255	1	2	1	2	20			5	8	0	xts	yts	0	0	1
Gloves(L)	0	0	1	1	3	5	0	0	15	0	12	0	3	0	80	4060	lgl	lgl			lgl	lgl	lgl	xlg	ylg	0	16	2	2	1	2	0	flplgl	invlgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1					255	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xlg	ylg	0	0	1
Heavy Gloves	0	0	1	1	6	10	0	0	15	0	14	0	7	0	352	6616	vgl	vgl			vgl	vgl	vgl	xvg	yvg	0	16	2	2	1	2	0	flpvgl	invvgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xvg	yvg	0	0	1
Bracers(M)	0	0	2	1	9	15	0	0	25	0	16	0	12	0	859	11077	mgl	mgl			mgl	mgl	mgl	xmg	ymg	0	16	2	2	1	1	0	flpmgl	invmgl			1	1					0	0	0	0	0	glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255	1	2	1	2	20					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255			1	1	0	xmg	ymg	0	0	1
Light Gauntlets	0	0	3	1	12	20	0	0	45	0	18	0	20	0	1635	20675	tgl	tgl			mgl	mgl	tgl	xtg	ytg	0	16	2	2	1	1	0	flptgl	invtgl			1	1					0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255	1	2	1	2	20					255					255					255	1	2	1	2	20					255					255					255					255					255					255			1	1	0	xtg	ytg	0	0	1
Gaunlets(H)	0	0	4	1	15	25	0	0	60	0	24	0	27	0	2964	36007	hgl	hgl			hgl	hgl	hgl	xhg	yhg	0	16	2	2	1	1	0	flphgl	invhgl			2	2					0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255			1	1	0	xhg	yhg	0	0	1
Leather Boots	0	0	1	1	2	4	0	0	15	0	12	0	3	0	80	4060	lbt	lbt			lbt	lbt	lbt	xlb	ylb	0	16	2	2	1	2	1	flplbt	invlbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	3	8	120	120	0	1					255	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xlb	ylb	0	0	1
Heavy Boots	0	0	1	1	4	8	0	0	18	0	14	0	7	0	334	6584	vbt	vbt			vbt	vbt	vbt	xvb	yvb	0	16	2	2	1	2	1	flpvbt	invvbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	4	10	120	120	0	1	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xvb	yvb	0	0	1
Chain Boots	0	0	2	1	6	12	0	0	30	0	16	0	12	0	854	11062	mbt	mbt			mbt	mbt	mbt	xmb	ymb	0	16	2	2	1	1	1	flpmbt	invmbt						1			0	0	0	0	0	boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0	0	0	6	0	6	12	120	120	0	3					255					255					255	1	2	1	2	20					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255			1	8	0	xmb	ymb	0	0	1
Light Plate Boots	0	0	3	1	8	16	0	0	50	0	18	0	20	0	1630	20650	tbt	tbt			mbt	mbt	tbt	xtb	ytb	0	16	2	2	1	1	1	flptbt	invtbt						1			0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	8	16	120	120	0	3					255					255					255					255					255					255	1	2	1	2	20					255					255					255	1	2	1	2	20					255					255					255					255					255					255			1	1	0	xtb	ytb	0	0	1
Plate Boots	0	0	4	1	10	20	0	0	70	0	24	0	27	0	2954	35939	hbt	hbt			hbt	hbt	hbt	xhb	yhb	0	16	2	2	1	1	1	flphbt	invhbt						2			0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	10	20	120	120	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255			1	1	0	xhb	yhb	0	0	1
Sash(L)	0	0	1	1	3	5	0	0	15	0	12	0	3	0	64	4048	lbl	lbl			lbl	lbl	lbl	zlb	alb	0	16	2	1	1	2	2	flplbl	invlbl									0	0	0	0	0	belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	1	0	0	4	0	0	0			0	1					255	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	zlb	alb	0	0	1
Light Belt	0	0	1	1	6	10	0	0	15	0	14	0	7	0	192	6336	vbl	vbl			vbl	vbl	vbl	zvb	avb	0	16	2	1	1	2	2	flpvbl	invvbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	4	0	0	4	0	0	0			0	1	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	zvb	avb	0	0	1
Belt(M)	0	0	2	1	9	15	0	0	25	0	16	0	12	0	495	9985	mbl	mbl			mbl	mbl	mbl	zmb	bmb	0	16	2	1	1	1	2	flpmbl	invmbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	0	0	0	4	0	0	0			0	1					255					255					255	1	2	1	2	20					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255			5	8	0	zmb	bmb	0	0	1
Heavy Belt	0	0	2	1	12	20	0	0	45	0	18	0	20	0	963	17315	tbl	tbl			mbl	mbl	tbl	ztb	atb	0	16	2	1	1	1	2	flptbl	invtbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	5	0	0	4	0	0	0			0	1					255					255					255					255					255					255	1	2	1	2	20					255					255					255	1	2	1	2	20					255					255					255					255					255					255			5	8	0	ztb	atb	0	0	1
Girdle(H)	0	0	3	1	15	25	0	0	60	0	24	0	27	0	2068	29959	hbl	hbl			hbl	hbl	hbl	zhb	ahb	0	16	2	1	1	1	2	flphbl	invhbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	3	0	0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	2	20	1	2	1	2	20					255					255					255			5	8	0	zhb	ahb	0	0	1
Bone Helm	0	0	2	1	28	40	0	0	25	0	40	0	22	0	6323	48276	bhm	bhm			bhm	hlm	bhm	xh9	yh9	0	0	2	2	1	2	1	flpbhm	invbhm	invbhmu	invbhmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	2	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xh9	yh9	0	0	1
Bone Shield	0	0	2	1	24	36	0	0	25	20	40	0	19	0	3175	27081	bsh	bsh			bsh	buc	bsh	xsh	ysh	0	7	2	3	1	2	2	flpbsh	invbsh	invbshu	invbshu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	3	6			0	1					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255	1	2	1	2	20					255					255					255			5	1	0	xsh	ysh	0	0	1
Spiked Shield	0	0	3	1	15	25	0	0	30	10	40	0	11	0	1890	13197	spk	spk			spk	buc	spk	xpk	ypk	0	7	2	3	1	2	2	flpspk	invspk	invspku	invspku							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	5	9			0	1					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255			5	1	0	xpk	ypk	0	0	1
War Hat	0	0	1	1	35	45	0	0	20	0	12	0	34	22	13560	82061	xap	xap			cap	cap	cap	xap	yap	0	0	2	2	1	3	1	flpcap	invcap									0	0	0	0	0	helm		item_cap	12	item_cap	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Sallet	0	0	4	1	40	52	0	0	43	0	18	0	37	25	17210	113647	xkp	xkp			skp	skp	skp	xkp	ykp	0	0	2	2	1	3	1	flpskp	invskp	invxkpu	invxkpu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Casque	0	0	4	1	45	59	0	0	59	0	24	0	42	25	23075	171804	xlm	xlm			hlm	hlm	hlm	xlm	ylm	0	0	2	2	1	3	1	flphlm	invhlm	invhlmu	invhlmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Basinet	0	0	4	1	55	71	0	0	82	0	30	0	45	25	29083	233910	xhl	xhl			fhl	fhl	fhl	xhl	yhl	0	0	2	2	1	3	1	flpfhl	invfhl	invfhlu	invfhlu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Winged Helm	0	0	4	1	70	92	0	0	115	0	40	0	51	25	37846	355900	xhm	xhm			ghm	ghm	ghm	xhm	yhm	0	0	2	2	1	4	1	flpghm	invghm									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Grand Crown	0	0	4	1	75	99	0	0	103	0	50	0	55	25	42458	448816	xrn	xrn			crn	crn	crn	xrn	yrn	0	0	2	2	1	4	1	flpcrn	invxrn	invxrnu	invxrnu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Death Mask	0	0	4	1	60	78	0	0	55	0	20	0	48	25	27190	241184	xsk	xsk			bhm	msk	msk	xsk	ysk	0	0	2	2	1	4	1	flpmsk	invmsk									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Ghost Armor	0	0	1	1	105	121	0	0	38	0	20	0	34	22	30552	165635	xui	xui			qlt	qlt	qui	xui	yui	0	1	2	3	1	4	2	flpqlt	invqlt							1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
